File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1001-1200.csv,"Nexu Paris Aquabella Beauty-Revealing Moisturising Emulsion Cream, 1.7 oz/50 mL",Nuxe Paris,Face,Emulsions,"Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Ammonium Lactate, Aqua/Water, Arachidyl Alcohol, Arachidyl Glucoside, Avena Sativa (Oat) Kernel Extract, Behenyl Alcohol, Benzyl Salicylate, Caprylic/Capric Triglyceride, Capryloyl Glycine, Citral, Citric Acid, Citronellol, Decyl Oleate, Dehydroacetic Acid, Dimethicone, Dimethicone Crosspolymer, Ethylhexylglycerin, Geraniol, Glycerin, Hydrogenated Coconut Oil, Hydroxyethyl Urea, Lens Esculenta (Lentil) Seed Extract, Linalool, Nymphaea Alba Flower Extract, Parfum/Fragrance, Phenoxyethanol, Polyacrylate Crosspolymer-6, Propanediol, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Silica, Sodium Benzoate, Sodium Gluconate, Sodium Hydroxide, Sodium Stearoyl Glutamate, Tocopherol, Tropaeolum Majus Flower/Leaf/Stem Extract, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/25123231E539F5/large_1748351456.pngpng?1748351456,https://www.skinsafeproducts.com/nexu-paris-aquabella-beauty-revealing-moisturising-emulsion-cream-1-7-oz-50-ml
1001-1200.csv,"Nuxe Rich Hand Cream, Cica, 1.7 fl oz/50 mL",NUXE,Hand,Creams,"1,2-Hexanediol, Aqua/Water, Behenyl Alcohol, Butyrospermum Parkii (Shea) Butter, Camelina Sativa Seed Oil, Caprylic/Capric Triglyceride, Caprylyl Glycol, Centella Asiatica Extract, Cetearyl Alcohol, Citric Acid, Dehydroacetic Acid, Glycerin, Isoamyl Laurate, Mel/Honey, Parfum/Fragrance, Polyglyceryl-6 Distearate, Sodium Gluconate, Sodium Stearoyl Glutamate, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/27E834DB2FDC66/large_1741726332.jpeg?1741726332,https://www.skinsafeproducts.com/nuxe-rich-hand-cream-cica-1-7-fl-oz-50-ml
1001-1200.csv,"Nuxe Super Serum [10] The Universal Age-Defying Concentrate, 1.0 fl oz/30 mL",NUXE,Anti-Aging/Anti-Wrinkle,Anti-Aging,"1,2-Hexanediol, Alcaligenes Polysaccharides, Aqua/Water, Benzyl Alcohol, Betaine, Caprylic/Capric Triglyceride, Caprylyl Glycol, Carbomer, Castor Oil/Ipdi Copolymer, Citric Acid, Coco-Caprylate/Caprate, Dehydroacetic Acid, Glycerin, Hyaluronic Acid, Leontopodium Alpinum Callus Culture Extract, Niacinamide, Parfum/Fragrance, Passiflora Incarnata Extract, Pentylene Glycol, Propanediol, Sodium Hyaluronate, Sodium Hydroxide, Trisodium Ethylenediamine Disuccinate, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/964FF7D4B0657D/large_1731498898.pngpng?1731498898,https://www.skinsafeproducts.com/nuxe-super-serum-10-the-universal-age-defying-concentrate-1-0-fl-oz-30-ml
1201-1400.csv,"Nuxe Creme Fraiche De Beaute 48HR Moisture SOS Rescue Mask, 50 mL",Nuxe Paris,Skin Treatments,Facial Masks,"Alcohol Denat., Allantoin, Anhydroxylitol, Avena Sativa (Oat) Kernel Extract, Biosaccharide Gum-1, C12-20 Alkyl Glucoside, C14-22 Alcohols, Camellia Oleifera Seed Oil, Camellia Sinensis (Green Tea) Leaf Extract, Capryloyl Glycine, Cetearyl Alcohol, Citric Acid, Citrus Aurantium Dulcis (Orange) Flower Extract, Cocos Nucifera (Coconut), Cocos Nucifera (Coconut) Fruit Extract, Dehydroacetic Acid, Disodium Edta, Ethylhexylglycerin, Geraniol, Glycerin, Glycine Soja (Soybean) Extract, Helianthus Annuus (Sunflower) Seed Oil, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Limonene, Linalool, Macadamia Integrifolia Seed Oil, Maris Sal (Sea Salt), Octyldodecanol, Parfum/Fragrance, Phenoxyethanol, Pisum Sativum (Pea) Extract, Polysorbate 60, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Prunus Amygdalus Dulcis (Sweet Almond) Seed Extract, Robinia Pseudoacaia Flower Extract, Sclerotium Gum, Sodium Carrageenan, Sodium Gluconate, Sodium Hyaluronate, Sodium Stearoyl Glutamate, Sorbitan Isostearate, Soy Lecithin, Squalane, Tocopherol (Multisource), Water\Aqua\Eau, Xanthan Gum, Xylitol (Source Unknown), Xylitylglucoside",https://cdn1.skinsafeproducts.com/photo/EE6B008C59F645/large_1537365862.jpeg?1537365862,https://www.skinsafeproducts.com/nuxe-creme-fraiche-de-beaute-48hr-moisture-sos-rescue-mask-50-ml
1201-1400.csv,"NUXE Micellar Cleansing Water with Rose Petals, 6.7 fl oz",Nuxe Paris,Facial Cleansers,Facial Washes,"Allantoin, Benzyl Alcohol, Capryloyl Glycine, Caprylyl/Capryl Glucoside, Citric Acid, Coco-Glucoside, Dehydroacetic Acid, Glycerin, Linalool, Parfum/Fragrance, Rosa Damascena Flower Water, Sodium Hyaluronate, Sodium Hydroxide, Tetrasodium Edta, Water\Aqua\Eau",https://cdn1.skinsafeproducts.com/photo/2E97F40573FD1D/large_1487718081.jpeg?1487718081,https://www.skinsafeproducts.com/nuxe-micellar-cleansing-water-with-rose-petals-6-7-fl-oz
1201-1400.csv,"Nuxe Eau Demaquillant Micellaire Micellar Cleansing Water, 200ml/6.7oz",Nuxe Paris,Cleansers,Facial Cleansers,"Allantoin, Benzyl Alcohol, Capryloyl Glycine, Caprylyl/Capryl Glucoside, Citric Acid, Coco-Glucoside, Dehydroacetic Acid, Glycerin, Linalool, Parfum/Fragrance, Rosa Damascena Flower Water, Sodium Hyaluronate, Sodium Hydroxide, Tetrasodium Edta, Water\Aqua\Eau",https://cdn1.skinsafeproducts.com/photo/F5483058788F3C/large_1487185099.jpeg?1487185099,https://www.skinsafeproducts.com/nuxe-eau-demaquillant-micellaire-micellar-cleansing-water-200ml-6-7oz
1201-1400.csv,"Nuxe Paris Comforting Cleansing Milk With Rose Petals, 6.7 fl oz.",Nuxe Paris,Facial Cleansers,Facial Washes,"Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Allantoin, Benzyl Alcohol, C12-20 Alkyl Glucoside, C14-22 Alcohols, Capryloyl Glycine, Carbomer, Citric Acid, Cocos Nucifera (Coconut), Dehydroacetic Acid, Glycerin, Helianthus Annuus (Sunflower) Seed Oil, Hydrogenated Coconut Oil, Macadamia Integrifolia Seed Oil, Parfum/Fragrance, Propanediol, Rosa Damascena Flower Water, Sodium Cottonseedamphoacetate, Sodium Hydroxide, Tetrasodium Edta, Tocopherol (Multisource), Tocopheryl Acetate, Water\Aqua\Eau",https://cdn1.skinsafeproducts.com/photo/Qi6yh7zmnDnGbe9HvifBtQ/large_1467574543.jpeg?1467574543,https://www.skinsafeproducts.com/nuxe-paris-comforting-cleansing-milk-with-rose-petals-6-7-fl-oz
1201-1400.csv,Nuxe Paris Rêve de Miel Ultra-Nourishing Lip Balm,Nuxe Paris,Lip Care,"Lip Balms, Gels, Moisturizers & Oils","African Shea Butter, Allantoin, Behenoxy Dimethicone, Bht, Calendula Officinalis Flower Extract, Caprylic/ Capric Triglyceride, Carnauba/Carnauba Wax/Cire De Carnauba, Cera Alba/Beeswax, Citral, Citric Acid, Citrus Grandis (Grapefruit) Peel Oil, Citrus Limonum (Lemon) Extract, Dimethicone, Ethylhexyl Methoxycinnamate, Hydrogenated Vegetable Oil, Lecithin, Limonene, Linalool, Mel (Honey), Prunus Amygdalus Dulcis (Sweet Almond) Oil, Rosa Moschata Seed Oil, Soy Lecithin, Tocopherol (Multisource), Tocopheryl Acetate",https://cdn1.skinsafeproducts.com/photo/hupjSxEGgjI3Jxq984x5tQ/large_1440442063.jpeg?1440442063,https://www.skinsafeproducts.com/nuxe-paris-reve-de-miel-ultra-nourishing-lip-balm
1201-1400.csv,Nuxe Paris Rêve de Miel Hand and Nail Cream,Nuxe Paris,Hand,Creams,"1,2-Hexanediol, African Shea Butter, Allantoin, Arachidyl Alcohol, Arachidyl Glucoside, Argania Spinosa Kernel Oil, Behenyl Alcohol, Calendula Officinalis Flower Extract, Caprylic/Capric Triglyceride, Caprylyl Glycol, Carbomer, Cera Alba/Beeswax, Cetearyl Alcohol, Coco-Glucoside, Cocos Nucifera (Coconut), Dimethicone, Ethylhexlyglycerin, Glycerin, Helianthus Annuus (Sunflower) Seed Oil Unsaponifiables, Hordeum Vulgare, Mel (Honey), Parfum/Fragrance, Pentylene Glycol, Persea Gratissima (Avocado) Oil, Propylene Glycol Dicaprylate/Dicaprate, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Rosa Moschata Seed Oil, Sodium Hydroxide, Soy Lecithin, Spent Grain Wax, Tetrasodium Glutamate Diacetate, Tocopherol (Multisource), Tocopheryl Acetate, Tropolone, Water\Aqua\Eau",https://cdn1.skinsafeproducts.com/photo/UElK-HZJhhDQ56wwhPIiHA/large_1440442050.jpeg?1440442050,https://www.skinsafeproducts.com/nuxe-paris-reve-de-miel-hand-and-nail-cream
1201-1400.csv,"Nuxe Paris Very Rose Micellar Water, 6.7 fl oz/200 mL",Nuxe Paris,Facial Cleansers,Micellar Water,"Anhydroxylitol, Aqua/Water, Cetrimonium Bromide, Citric Acid, Glycerin, Parfum/Fragrance, Peg-6 Caprylic/Capric Glycerides, Pentylene Glycol, Phenoxyethanol, Rosa Damascena Flower Water, Sodium Gluconate, Sodium Hydroxide, Xylitol, Xylitylglucoside",https://cdn1.skinsafeproducts.com/photo/A65483618E70BB/large_1750557684.pngpng?1750557684,https://www.skinsafeproducts.com/nuxe-paris-very-rose-micellar-water-6-7-fl-oz-200-ml
