File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"Skinfood Rice Mask Wash Off, 4.23 oz/120 g",Skinfood,Skin Treatments,Facial Masks,"1,2-Hexanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Algin, Caprylic/Capric Triglyceride, Carbomer, Cetyl Alcohol, Cyclohexasiloxane, Dimethicone, Ethylhexylglycerin, Fragrance, Glycerin, Glyceryl Stearate, Hydroxycitronellol, Jojoba Esters, Oryza Sativa (Rice) Bran Water, Palmitic Acid, Peg-100 Stearate, Polyglutamic Acid, Polysorbate 80, Potassium Hydroxide, Propylene Glycol, Sodium Hyaluronate, Sorbitan Stearate, Stearic Acid, Sucrose Cocoate, Water",https://cdn1.skinsafeproducts.com/photo/4549F6580BE988/large_1709031845.pngpng?1709031845,https://www.skinsafeproducts.com/skinfood-rice-mask-wash-off-4-23-oz-120-g
1-200.csv,"SkinFood Royal Honey 100 Hour Moisture Cream, Sensitive Skin, 100 ml",Skinfood,Body,Creams,"1,2-Hexanediol, Aloe Barbadensis Leaf Juice Powder, Beta-Glucan, Betaine, Carbomer, Chamomilla Recutita (Matricaria) Flower Extract, Ethylhexylglycerin, Glycerin, Helianthus Annuus (Sunflower) Seed Oil, Honey Extract, Hydrogenated Lecithin, Hydroxyethylcellulose, Macadamia Ternifolia Seed Oil, Mangifera Indica (Mango) Seed Butter, Olea Europaea (Olive) Fruit Oil, Phytosteryl/Octyldodecyl Lauroyl Glutamate, Portulaca Oleracea Extract, Royal Jelly Extract, Sodium Carbomer, Squalane, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/2E4E4EFCED1143/large_1639975827.pngpng?1639975827,https://www.skinsafeproducts.com/skinfood-royal-honey-100-hour-moisture-cream-sensitive-skin-100-ml
1001-1200.csv,"Skinfood Freshmade Coconut Mask, Hydrating, 3.04 fl oz/90 mL",Skinfood,Skin Treatments,Facial Masks,"1,2-Hexanediol, Aloe Barbadensis Leaf Extract, Aqua, Benzyl Benzoate, Butylene Glycol, Caprylyl Glycol, Chamomilla Recutita Extract, Ci 77891, Cocos Nucifera Fruit Extract, Cocos Nucifera Oil, Cyclopentasiloxane, Dimethicone, Dimethicone/Peg-10/15 Crosspolymer, Dipropylene Glycol, Disodium Edta, Ethylhexyl Glycerin, Glycerin, Hizikia Fusiforme Extract, Hydrolyzed Collagen, Parfum, Peg-10 Dimethicone Crosspolymer, Peg/Ppg-18/18 Dimethicone, Phenoxyethanol, Portulaca Oleracea Extract, Propanediol, Sodium Chloride, Sodium Citrate, Tocopherol",https://cdn1.skinsafeproducts.com/photo/8DC5D1CE6D316F/large_1744981868.pngpng?1744981868,https://www.skinsafeproducts.com/skinfood-freshmade-coconut-mask-hydrating-3-04-fl-oz-90-ml
1001-1200.csv,"Sanre Organic Skinfood Green Matcha Tea & Rosa Mosqueta Cream, Dawn Delight, 1.1 oz/33 mL",SanRe Organic Skinfood,Face,Creams,"Carthamus Tinctorius (Organic Safflower Oil), Neroli Essential Oil, Organic Beeswax (Cera Alba), Organic Camellia Sinensis (Matcha Green Tea), Organic Chamomile Essential Oil (Anthemis Nobilis), Organic Citrus Extract (Citrus Aurantium), Organic Patchouli Essential Oil, Organic Rosehip Seed Oil, Purified Water (Aqua)",https://cdn1.skinsafeproducts.com/photo/CAB040C13D84CA/large_1713502461.pngpng?1713502461,https://www.skinsafeproducts.com/sanre-organic-skinfood-green-matcha-tea-rosa-mosqueta-cream-dawn-delight-1-1-oz-33-ml
1201-1400.csv,"Skinfood Egg White Pore Foam, 5.07 Fluid Ounce",Skinfood,Moisturizers,Face,"Alanine, Albumen Extract, Alcohol Denat., Argania Spinosa Kernel Oil, Arginine, Beta-Sitosterol, Betaine, Butylene Glycol, Centella Asiatica Extract, Cetearyl Olivate, Chamomilla Recutita (Matricaria) Flower Extract, Cocoamidopropyl Betaine (Coconut Derivative), Dimethicone, Dipotassium Glycyrrhizate, Disodium Edta, Enantia Chlorantha Bark Extract, Fragrance, Glutamic Acid, Glycerin, Glycine, Glycine Soja (Soybean) Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Hydrogenated Lecithin, Lauric Acid, Lysine, Myristic Acid, Olea Europaea (Olive) Fruit Oil, Oleanolic Acid, Potassium Hydroxide, Proline, Propylene Glycol, Serenoa Serrulata Fruit Extract, Serine, Sesamum Indicum (Sesame) Seed Oil, Sorbitan Olivate, Sorbitol, Stearic Acid, Stearyl Glycyrrhetinate, Threonine, Tocopherol (Multisource), Trehalose, Water\Aqua\Eau, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/61B23AE94CECC6/large_1523641265.jpeg?1523641265,https://www.skinsafeproducts.com/skinfood-egg-white-pore-foam-5-07-fluid-ounce
1201-1400.csv,"Skinfood Egg White Pore Mask, 4.41 Ounce",Skinfood,Skin Treatments,Facial Masks,"Albumen, Bentonite, Betaine, Butylene Glycol, Caprylic/Capric Triglyceride, Caprylyl Glycol, Cetearyl Alcohol, Dipotassium Glycyrrhizate, Disodium Edta, Ethylhexylglycerin, Fragrance, Glycerin, Glyceryl Stearate, Kaolin, Lactic Acid, Olea Europaea (Olive) Fruit Oil, Palmitic Acid, Panthenol, Peg-100 Stearate, Phenoxyethanol, Polysorbate 60, Polyvinyl Alcohol, Pvp, Silica, Sodium Hyaluronate, Sorbitan Stearate, Stearic Acid, Titanium Dioxide, Water\Aqua\Eau, Xanthan Gum, Zinc Oxide",https://cdn1.skinsafeproducts.com/photo/B2E334E337E487/large_1515937785.jpeg?1515937785,https://www.skinsafeproducts.com/skinfood-egg-white-pore-mask-4-41-ounce
1601-1800.csv,"Skinfood Carrot Carotene Mask, 0.91 fl oz/27 mL",Skinfood,Skin Treatments,Facial Masks,"1,2-Hexanediol, Allantoin, Artemisia Vulgaris Oil, Beta-Glucan, Betaine, Brassica Oleracea Capitata (Cabbage) Leaf Extract, Brassica Oleracea Italica (Broccoli) Extract, Butylene Glycol, Camellia Sinensis Leaf Extract, Caprylyl Glycol, Carbomer, Centella Asiatica Extract, Citrus Aurantium Dulcis (Orange) Peel Oil, Daucus Carota Sativa (Carrot) Root Extract, Daucus Carota Sativa (Carrot) Seed Oil, Diethoxyethyl Succinate, Diphenyl Dimethicone, Dipotassium Glycyrrhizate, Dipropylene Glycol, Ethylhexylglycerin, Glycerin, Glyceryl Acrylate/Acrylic Acid Copolymer, Hydrogenated Lecithin, Hydroxyacetophenone, Hydroxyethyl Cellulose, Hydroxyethyl Urea, Lavandula Hybrida Oil, Methyl Propanediol, Momordica Charantia Fruit Extract, Olea Europaea (Olive) Fruit Oil, Panthenol, Pogostemon Cablin Oil, Polyglyceryl-10 Laurate, Polyglyceryl-10 Oleate, Propanediol, Salvia Officinalis (Sage) Oil, Sodium Hyaluronate, Triethylhexanoin, Tromethamine, Undaria Pinnatifida Extract, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/059E97053A5CD9/large_1744114891.pngpng?1744114891,https://www.skinsafeproducts.com/skinfood-carrot-carotene-mask-0-91-fl-oz-27-ml
1601-1800.csv,"SanRe Organic Skinfood Rose Facial Purifying Cleanser, 3.9 oz/115 mL",SanRe Organic Skinfood,Facial Cleansers,Facial Gels,"Borago Officinalis (Organic Borage Seed Oil), Certified Organic Safflower Oil (Carthamus Tinctorius), Cymopsis Tetragonoloba Gum (Organic Guar Gum), Organic Aloe Vera (Aloe Barbadensis), Organic Arnica (Arnica Montana) Essential Oil, Organic Beeswax (Cera Alba), Organic Bulgarian Rose Oil (Rosa Damascena), Organic Calendula Oil (Calendula Officinalis), Organic Castile Soap, Organic Castor Oil (Ricinus Communis), Organic Chamomile Essential Oil (Anthemis Nobilis), Organic Citrus Extract (Citrus Aurantium), Organic Rose Hydrosol (Rosa Damascena), Organic Witch Hazel Extract, Purified Water (Aqua), Salix Alba (Organic White Willow ) Bark Extract",https://cdn1.skinsafeproducts.com/photo/3B74C0311A6348/large_1713500136.jpeg?1713500136,https://www.skinsafeproducts.com/sanre-organic-skinfood-rose-facial-purifying-cleanser-3-9-oz-115-ml
1601-1800.csv,"Sanre Organic Skinfood Amber Rose Soothing Facial Cream, 1.1 oz/33 mL",SanRe Organic Skinfood,Face,Creams,"Baltic Amber Powder, Blue Yarrow Essential Oil, Organic Beeswax (Cera Alba), Organic Blackberry Oil (Rubus Iaciniatus), Organic Calendula Oil (Calendula Officinalis), Organic Citrus Extract (Citrus Reticulate), Organic Comfrey Oil (Symphytum Officinalis), Organic Dandelion Root Extract (Taraxacum Officinale), Organic Evening Primrose Oil (Oenothera Biennis), Organic Nettle Leaf Extract (Urtica Dioica), Organic Rosehip Oil, Organic Safflower Oil (Carthamus Tinctorius), Purified Water (Aqua), Walnut Oil (Juglans Ragia)",https://cdn1.skinsafeproducts.com/photo/6306EC49B216CD/large_1713501658.pngpng?1713501658,https://www.skinsafeproducts.com/sanre-organic-skinfood-amber-rose-soothing-facial-cream-1-1-oz-33-ml
1801-2000.csv,"Sanre Organic Skinfood Like A Baby Soothing Skin Balm, 0.5 oz/15 mL",SanRe Organic Skinfood,Face,Balms,"Certified Organic Virgin Olive Oil, Organic Calendula Oil, Organic Carnauba Wax, Organic Coconut Oil, Organic Neem Oil, Organic Tamanu Oil",https://cdn1.skinsafeproducts.com/photo/CE0262D57598F8/large_1699345485.pngPNG?1699345485,https://www.skinsafeproducts.com/sanre-organic-skinfood-like-a-baby-soothing-skin-balm-0-5-oz-15-ml
