File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1001-1200.csv,"Typology L72 Repairing Lip Mask, 1% Ceramides + Hyaluronic Acid, 15 mL",Typology,Lip Care,Lip Mask,"Aqua (Water), C10-18 Triglycerides, Caprylic/Capric Triglyceride, Ceramide Ng, Glycerin, Glyceryl Behenate, Glyceryl Stearate, Hydrogenated Castor Oil, Macadamia Integrifolia Seed Oil, Mangifera Indica (Mango) Seed Butter, Menthoxypropanediol, Oleic/Linoleic/Linolenic Polyglycerides, Ricinus Communis (Castor) Seed Oil, Sodium Hyaluronate, Tocopherol",https://cdn1.skinsafeproducts.com/photo/02A6A5177A8C16/large_1749712241.pngpng?1749712241,https://www.skinsafeproducts.com/typology-l72-repairing-lip-mask-1-ceramides-hyaluronic-acid-15-ml
1001-1200.csv,"Typology A36-Antioxident Serum, 3% Ferulic Acid + Ashtaba, 1 fl oz/30 mL",Typology,Skin Treatments,Serums,"Acacia Senegal Gum, Angelica Keiskei Extract, Aqua (Water), Citric Acid, Crocus Sativus Flower Extract, Ferulic Acid, Glycerin, Lavandula Angustifolia Oil, Linalool, O-Cymen-5-Ol, Pentylene Glycol, Polyglyceryl-10 Oleate, Polyglyceryl-10 Stearate, Potato Starch Modified, Sodium Hydroxide, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/3366D7CFA45216/large_1740463261.pngpng?1740463261,https://www.skinsafeproducts.com/typology-a36-antioxident-serum-3-ferulic-acid-ashtaba-1-fl-oz-30-ml
1001-1200.csv,"Typology Urban Shield Serum, L50, SPF 30",Typology,Skin Treatments,Serums,"1,2-Hexanediol, Aqua (Water), Biosaccharide Gum-4, Butyrospermum Parkii (Shea) Butter, Caprylic/Capric Triglyceride, Citric Acid, Glycerin, Glyceryl Caprylate, Glyceryl Isostearate, Hedychium Coronarium Root Extract, Lauroyl Lysine, Pentylene Glycol, Polyglyceryl-6 Behenate, Polyglyceryl-6 Stearate, Polyhydroxystearic Acid, Propanediol, Resveratrol, Sodium Citrate, Tocopherol, Tridecane, Undecane, Xanthan Gum, Zinc Oxide",https://cdn1.skinsafeproducts.com/photo/21B087723D6385/large_1711338096.pngpng?1711338096,https://www.skinsafeproducts.com/typology-urban-shield-serum-l50-spf-30
1001-1200.csv,"Typology P40 Antioxidant Face Moisturizer, Carotenoids + Extrait de Lavande Bio, 1.69 fl oz/50 mL",Typology,Face,Creams,"Aloe Barbadensis Leaf Juice Powder, Aqua (Water), Brassica Oleracea Acephala Leaf Extract, Cetearyl Alcohol, Cetyl Alcohol, Citric Acid, Coco-Caprylate/Caprate, Haematococcus Pluvialis Extract, Lavandula Angustifolia Oil, Linalool, Maltodextrin, Panax Ginseng Root Extract, Pentylene Glycol, Potassium Sorbate, Potato Starch Modified, Propanediol, Sclerotium Gum, Sodium Benzoate, Sodium Stearoyl Glutamate",https://cdn1.skinsafeproducts.com/photo/97DC01AD7ED5CD/large_1710284725.jpeg?1710284725,https://www.skinsafeproducts.com/typology-p40-antioxidant-face-moisturizer-carotenoids-extrait-de-lavande-bio-1-69-fl-oz-50-ml
1201-1400.csv,"Typology D12 7-Ingredient Cleansing Oil, 98 mL",Typology,Facial Cleansers,Facial Cleansing Oil,"Caprylic/Capric Triglyceride, Helianthus Annuus (Sunflower) Seed Oil (Helianthus Annuus Hybrid Oil), Isopropyl Isostearate, Polyglyceryl-4 Oleate, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Tocopherol",https://cdn1.skinsafeproducts.com/photo/C48093C31EF26F/large_1758171173.pngpng?1758171173,https://www.skinsafeproducts.com/typology-d12-7-ingredient-cleansing-oil-98-ml
1201-1400.csv,"Typology 12% Niacinamide L36 Even-Complexion Serum, 1 fl oz",Typology,Skin Treatments,Serums,"1,2-Hexanediol, Aqua (Water), Caprylyl Glycol, Carrageenan, Citric Acid, Niacinamide, Phytic Acid, Propanediol, Tropolone, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/315F8FB25193EE/large_1757819607.pngpng?1757819607,https://www.skinsafeproducts.com/typology-12-niacinamide-l36-even-complexion-serum-1-fl-oz
1401-1600.csv,"Typology D12-7 Cleansing Oil,",Typology,Facial Cleansers,Facial Cleansing Oil,"Caprylic/Capric Triglyceride, Helianthus Annuus (Sunflower) Seed Oil (Helianthus Annuus Hybrid Oil), Isopropyl Isostearate, Polyglyceryl-4 Oleate, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Tocopherol",https://cdn1.skinsafeproducts.com/photo/07B4148BA25B18/large_1748841577.pngpng?1748841577,https://www.skinsafeproducts.com/typology-d12-7-cleansing-oil
1401-1600.csv,"Typology A30 Eye Serum, 0.50 fl oz/15 mL",Typology,"Eye Cream, Gel, Oils, & Serum",Serums,"Aqua (Water), Benzyl Alcohol, Butyrospermum Parkii (Shea) Butter, C12-20 Alkyl Glucoside, C14-22 Alcohols, Caprylic/Capric Triglyceride, Cellulose Gum, Citric Acid, Coco-Caprylate/Caprate, Dehydroacetic Acid, Dimethyl Isosorbide, Glycerin, Glycine Soja (Soybean) Oil, Hydroxypinacolone Retinoate, Microcrystalline Cellulose, Niacinamide, Sodium Hyaluronate, Sodium Hydroxide, Tocopherol, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/21348EBACB9FB1/large_1748680391.pngpng?1748680391,https://www.skinsafeproducts.com/typology-a30-eye-serum-0-50-fl-oz-15-ml
1401-1600.csv,"Typology Eye Serum For Fine Lines & Wrinkles, A30, 1 fl oz/30 mL",Typology,"Eye Cream, Gel, Oils, & Serum",Serums,"Aqua (Water), Benzyl Alcohol, Butyrospermum Parkii (Shea) Butter, C12-20 Alkyl Glucoside, C14-22 Alcohols, Caprylic/Capric Triglyceride, Cellulose Gum, Citric Acid, Coco-Caprylate/Caprate, Dehydroacetic Acid, Dimethyl Isosorbide, Glycerin, Glycine Soja (Soybean) Oil, Hydroxypinacolone Retinoate, Microcrystalline Cellulose, Niacinamide, Sodium Hyaluronate, Sodium Hydroxide, Tocopherol, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/8AB10E17E0C6C0/large_1745388309.pngpng?1745388309,https://www.skinsafeproducts.com/typology-eye-serum-for-fine-lines-wrinkles-a30-1-fl-oz-30-ml
1401-1600.csv,"Typology A61 0.3% Retinol Serum, 1 fl oz",Typology,Anti-Aging/Anti-Wrinkle,Serums,"Caprylic/Capric Triglyceride, Glycine Soja (Soybean) Oil, Retinol, Ricinus Communis (Castor) Seed Oil, Salicornia Herbacea Extract",https://cdn1.skinsafeproducts.com/photo/87666F07D8F302/large_1743313186.pngpng?1743313186,https://www.skinsafeproducts.com/typology-a61-0-3-retinol-serum-1-fl-oz
