File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"Uriage Eau Thermale Xemose Cleansing Soothing Oil, 17 fl oz/500 mL",Uriage Eau Thermale,Facial Cleansers,Facial Cleansing Oil,"Aqua (Water, Eau), Brassica Campestris (Rapeseed) Sterols, Ceteareth-60 Myristyl Glycol, Citric Acid, Coco-Glucoside, Glycerin, Glyceryl Oleate, Hydrogenated Starch Hydrolysate, Magnesium Laureth Sulfate, Magnesium Laureth-8 Sulfate, Magnesium Oleth Sulfate, Peg-7 Glyceryl Cocoate, Peg-75 Shea Butter Glycerides, Polyquaternium-10, Polysorbate 20, Raspberry Seed Oil/Palm Oil Aminopropanediol Esters, Sodium Acetate, Sodium Chloride, Sodium Cocoamphoacetate, Sodium Cocoyl Glutamate, Sodium Laureth Sulfate, Sodium Laureth-8 Sulfate, Sodium Oleth Sulfate",https://cdn1.skinsafeproducts.com/photo/0F7B888DFFEEE8/large_1729840174.pngpng?1729840174,https://www.skinsafeproducts.com/uriage-eau-thermale-xemose-cleansing-soothing-oil-17-fl-oz-500-ml
1-200.csv,"Uriage Eau Thermal Water Eye Contour Cream, 0.5 fl oz/15 mL",Uriage,"Eye Cream, Gel, Oils, & Serum",Creams,"1,2-Hexanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Algin, Anhydroxylitol, Aqua (Water, Eau), Butylene Glycol, Caprylyl Glycol, Dimethicone, Disodium Phosphate, Glucose, Glycerin, Glyceryl Polyacrylate, Isohexadecane, Isononyl Isononanoate, O-Cymen-5-Ol, Pentylene Glycol, Phenoxyethanol, Polymethyl Methacrylate, Polysorbate 80, Potassium Phosphate, Propanediol, Pullulan, Serine, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Sodium Dextran Sulfate, Sodium Hyaluronate, Sorbitan Oleate, Trehalose, Tromethamine, Urea, Xylitol, Xylitylglucoside",https://cdn1.skinsafeproducts.com/photo/11813E15E8BB25/large_1697586687.jpeg?1697586687,https://www.skinsafeproducts.com/uriage-eau-thermal-water-eye-contour-cream-0-5-fl-oz-15-ml
1-200.csv,"Uriage Eau Thermale Rich Water Cream, 1.35 fl oz/40 mL",Uriage Eau Thermale,Face,Creams,"1,2-Hexanediol, Acrylates / C10-30 Alkyl Acrylate Crosspolymer, Algin, Anhydroxylitol, Aqua (Water, Eau), Butylene Glycol, Butyrospermum Parkii (Shea) Butter, Caprylyl Glycol, Cetyl Alcohol, Chlorphenesin, Diglycerin, Dimethicone, Disodium Phosphate, Ethylhexyl Palmitate, Fragrance, Glycerin, Glyceryl Polyacrylate, Hydrogenated Polydecene, Limnanthes Alba (Meadowfoam) Seed Oil, O-Cymen-5-Ol, Pentaerythrityl Distearate, Pentylene Glycol, Polymethyl Methacrylate, Potassium Phosphate, Propanediol, Propylheptyl Caprylate, Pullulan, Serine, Sodium Hyaluronate, Sodium Hydroxide, Sodium Polyacrylate, Squalane, Steareth-2, Steareth-21, Tocopheryl Acetate, Trehalose, Urea, Xylitol, Xylitylglucoside",https://cdn1.skinsafeproducts.com/photo/6925A00952B8C2/large_1662441826.pngpng?1662441826,https://www.skinsafeproducts.com/uriage-eau-thermale-rich-water-cream-1-35-fl-oz-40-ml
1001-1200.csv,"Uriage Eau Thermale Cleansing Oil, 17 fl oz/500 mL",Uriage Eau Thermale,Facial Cleansers,Facial Cleansing Oil,"Aqua (Water, Eau), Caprylyl/Capryl Glucoside, Citric Acid, Coco-Glucoside, Glycerin, Glyceryl Oleate, Laureth-2, Parfum (Fragrance), Peg-7 Glyceryl Cocoate, Peg/Ppg-120/10 Trimethylolpropane Trioleate, Polyquaternium-10, Sodium Acetate, Sodium Benzoate, Sodium Chloride, Sodium Cocoamphoacetate, Sodium Cocoyl Glutamate, Sodium Laureth Sulfate",https://cdn1.skinsafeproducts.com/photo/6241E5A7D2734E/large_1742102601.pngpng?1742102601,https://www.skinsafeproducts.com/uriage-eau-thermale-cleansing-oil-17-fl-oz-500-ml
1001-1200.csv,"Uriage Eau Thermale Hyseac Local Skincare SOS Paste, 0.5 oz/15 g",Uriage Eau Thermale,Skin Treatments,Spot Treatments,"1,2-Hexanediol, 4-Terpineol, Aqua (Water, Eau), Cera Alba (Beeswax), Disteardimonium Hectorite, Illite, Octyldodecanol, Oleic/Linoleic/Linolenic Polyglycerides, Propylene Carbonate, Salicylic Acid, Sodium Shale Oil Sulfonate, Steareth-2, Talc, Tridecyl Trimellitate, Zinc Oxide",https://cdn1.skinsafeproducts.com/photo/525A7936DBC7BB/large_1719394921.pngpng?1719394921,https://www.skinsafeproducts.com/uriage-eau-thermale-hyseac-local-skincare-sos-paste-0-5-oz-15-g
1201-1400.csv,Uriage Xemose Gentle Cleansing Syndet 6.8 fl.oz,Uriage Eau Thermale,Cleansers,Facial Cleansers,"Brassica Campestris (Rapeseed) Sterols, Citric Acid, Cocoamidopropyl Betaine (Coconut Derivative), Decyl Glucoside (Plant Source), Dmdm Hydantoin, Glycerin, Magnesium Laureth Sulfate, Peg-120 Methyl Glucose Dioleate, Polysorbate 20, Raspberry Seed Oil/Palm Oil Aminopropanediol Esters, Sodium Chloride, Styrene/Acrylates Copolymer, Water\Aqua\Eau",https://cdn1.skinsafeproducts.com/photo/067C34E3317D6C/large_1556122540.jpeg?1556122540,https://www.skinsafeproducts.com/uriage-xemose-gentle-cleansing-syndet-6-8-fl-oz
1201-1400.csv,Uriage Water Serum 30ml,Uriage Eau Thermale,Skin Treatments,Serums,"1,2-Hexanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Algin, Anhydroxylitol, Butylene Glycol, Caprylyl Glycol, Chlorphenesin, Diglycerin, Dimethicone, Disodium Phosphate, Glucose, Glycerin, Glyceryl Polyacrylate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Isononyl Isononanoate, O-Cymen-5-Ol, Parfum (Fragrance), Pentylene Glycol, Polysorbate 60, Potassium Phosphate, Propanediol, Pullulan, Serine, Sodium Hyaluronate, Sodium Hydroxide, Sorbitan Isostearate, Trehalose, Urea, Water\Aqua\Eau, Xanthan Gum, Xylitol (Source Unknown), Xylitylglucoside",https://cdn1.skinsafeproducts.com/photo/888BCF7E9DE7A0/large_1556122246.jpeg?1556122246,https://www.skinsafeproducts.com/uriage-water-serum-30ml
1201-1400.csv,"Uriage Eau Thermale Isofill Creme, 50 mL",Uriage Eau Thermale,Face,Daytime Moisturizers,"Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Alcohol, Butylene Glycol, Cetearyl Isononanoate, Cetyl Alcohol, Cyclotetrapeptide-24 Aminocyclohexane Carboxylate, Dimethicone, Ectoin, Glycerin, Isodecyl Neopentanoate, Lecithin, Leontopodium Alpinum Flower/Leaf Extract, Mica, O-Cymen-5-Ol, Parfum (Fragrance), Phenoxyethanol, Phosphatidylinositol, Phosphatidylserine, Polyacrylate-13, Polyisobutene, Polymethyl Methacrylate (Pmma), Polysorbate 20, Ptfe, Sodium Hyaluronate, Sodium Hydroxide, Sorbitan Isostearate, Steareth-2, Steareth-21, Water\Aqua\Eau",https://cdn1.skinsafeproducts.com/photo/7341B0ACA46295/large_1488074534.jpeg?1488074534,https://www.skinsafeproducts.com/uriage-eau-thermale-isofill-creme-50-ml
1201-1400.csv,"Uriage Eau Thermale Isofill Wrinkle Focus Correction Eye Contour Care, 15 mL",Uriage Eau Thermale,"Eye Cream, Gel, Oils, & Serum",Creams,"African Shea Butter, Alcohol, Butylene Glycol, Cetyl Alcohol, Chlorphenesin, Ci 77891 (Titanium Dioxide), Cyclotetrapeptide-24 Aminocyclohexane Carboxylate, Dimethicone, Disodium Acetyl Glucosamine Phosphate, Ectoin, Glycerin, Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Isodecyl Neopentanoate, Lecithin, Leontopodium Alpinum Flower/Leaf Extract, Mica, O-Cymen-5-Ol, Pentaerythrityl Distearate, Phenoxyethanol, Phosphatidylinositol, Phosphatidylserine, Polyacrylate-13, Polyethylene, Polyisobutene, Polymethyl Methacrylate (Pmma), Polysorbate 20, Propylheptyl Caprylate, Sodium Hyaluronate, Sodium Hydroxide, Sodium Polyacrylate, Sorbitan Isostearate, Steareth-2, Steareth-21, Water\Aqua\Eau, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/C0534E76B30F09/large_1488074550.jpeg?1488074550,https://www.skinsafeproducts.com/uriage-eau-thermale-isofill-wrinkle-focus-correction-eye-contour-care-15-ml
1201-1400.csv,"Uriage Hyseac 3-Regul Global Skin-Care Cream, 1.35 fl oz",Uriage Eau Thermale,Face,Creams,"Acacia Decurrens Flower Cera (Acacia Decurrens Flower Wax), Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Asiaticoside, Butylene Glycol, Di-C12-13 Alkyl Malate, Dicaprylyl Ether, Diglycerin, Dimethicone, Ethylhexylglycerin, Glucose, Glucuronic Acid, Glycerin, Glyceryl Stearate, Glycolic Acid, Glycyrrhiza Inflata Root Extract, Helianthus Annuus (Sunflower Seed Wax), Jojoba Esters, Lactic Acid, Lens Esculenta (Lentil) Fruit Extract, Malic Acid, Parfum (Fragrance), Peg-100 Stearate, Pentaerythrityl Distearate, Phenoxyethanol, Phytosphingosine, Piroctone Olamine, Polyglycerin-3, Polymethyl Methacrylate (Pmma), Polymethylsilsesquioxane, Propanediol, Rhamnose, Salicylic Acid, Sodium Hydroxide, Steareth-2, Steareth-21, Tapioca Starch, Tocopheryl Acetate, Water\Aqua\Eau, Xanthan Gum, Zinc Lactate",https://cdn1.skinsafeproducts.com/photo/97F14E69F8B1CE/large_1488074613.jpeg?1488074613,https://www.skinsafeproducts.com/uriage-hyseac-3-regul-global-skin-care-cream-1-35-fl-oz
