File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"Avene Thermal Spring Water, 5.2 oz/150 mL",Avene,Face,Mists,"Avene Thermal Spring Water (Avene Aqua), Nitrogen",https://cdn1.skinsafeproducts.com/photo/26698DBFC47115/large_1704432109.pngpng?1704432109,https://www.skinsafeproducts.com/avene-eau-thermale-thermal-spring-water-5-2-oz-150-ml
1-200.csv,"Avene Thermal Spring Water, 300 mL/10.58 oz",Avene,Skin Care,Skin Treatments,"Avene Thermal Spring Water, Nitrogen",https://cdn1.skinsafeproducts.com/photo/AFA062A7B60FC5/large_1492271430.jpegJPG?1492271430,https://www.skinsafeproducts.com/avene-thermal-spring-water-10-58-oz
1-200.csv,"Avene RetrinAL Advanced Correcting Serum, 30 mL/1.0 fl oz",Eau Thermale Avene,Anti-Aging/Anti-Wrinkle,Serums,"1,2-Hexanediol, Acacia Senegal Gum, Avene Thermal Spring Water, Bakuchiol, Butylene Glycol, C9-12 Alkane, Caprylic/Capric Triglyceride, Citric Acid, Coco-Caprylate/Caprate, Glycerin, Glyceryl Behenate, Glyceryl Dibehenate, Niacinamide, Pentaerythrityl Tetracaprylate/Tetracaprate, Pentylene Glycol, Sodium Dilauramidoglutamide Lysine, Sodium Hyaluronate, Tocopheryl Glucoside, Tribehenin, Water (Aqua), Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/F5393F0E364930/large_1694117875.pngpng?1694117875,https://www.skinsafeproducts.com/avene-retrinal-advanced-correcting-serum-30-ml-1-0-fl-oz
1-200.csv,"Avene Cicalfate+ Restorative Protective Cream, 40 mL/1.3 fl oz",Eau Thermale Avene,Face,Creams,"Aluminum Stearate, Aquaphilus Dolomiae Ferment Filtrate, Arginine, Avene Thermal Spring Water, Beeswax/Cire D'Abeille, Caprylic/Capric Triglyceride, Copper Sulfate, Glycerin, Hydrogenated Vegetable Oil, Magnesium Stearate, Microcrystalline Wax/Cire Microcristalline, Mineral Oil / Huile MinéRale, Peg-22/Dodecyl Glycol Copolymer, Polyglyceryl-2-Sesquiisostearate, Propylene Glycol (1,2-Propanediol), Tromethamine, Zinc Oxide, Zinc Sulfate",https://cdn1.skinsafeproducts.com/photo/243AE5B1D756A7/large_1697651616.jpegjpg?1697651616,https://www.skinsafeproducts.com/eau-thermale-avene-cicalfate-restorative-skin-cream-1-35-fl-oz
1-200.csv,"Avene Tolerance CONTROL Soothing Skin Recovery Cream, 40 mL/1.3 fl oz",Eau Thermale Avene,Face,Creams,"Aquaphilus Dolomiae Extract Filtrate, Arginine, Avene Thermal Spring Water (Avene Aqua), Beeswax (Cera Alba), Caprylic/Capric Triglyceride, Cetearyl Alcohol, Cetearyl Glucoside, Cetyl Esters, Citric Acid, Ethylhexyl Palmitate, Glycerin, Squalane, Tromethamine, Water (Aqua), Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/CA4F27C5342A46/large_1694116691.pngpng?1694116691,https://www.skinsafeproducts.com/avene-tolerance-control-skin-recovery-cream
1-200.csv,"Avene Tolerance CONTROL Soothing Skin Recovery Balm, 40 mL/1.3 fl oz",Eau Thermale Avene,Face,Creams,"Aquaphilus Dolomiae Extract Filtrate, Arginine, Avene Thermal Spring Water (Avene Aqua), Beeswax (Cera Alba), Butyrospermum Parkii (Shea) Butter (Butyrospermum Parkii Butter), Caprylic/Capric Triglyceride, Cetearyl Alcohol, Cetearyl Glucoside, Cetyl Esters, Citric Acid, Glycerin, Squalane, Tromethamine, Water (Aqua), Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/3147A7D719A68D/large_1694116276.pngpng?1694116276,https://www.skinsafeproducts.com/eau-thermale-avene-tolerance-control-1-3-fl-oz-40-ml
1-200.csv,"Avene Cicalfate Lips Repair Balm, 0.3 fl oz/10 mL",Eau Thermale Avene,Lip Care,"Lip Balms, Gels, Moisturizers & Oils","Aluminum Sucrose Octasulfate, Avene Thermal Spring Water (Avene Aqua), Beeswax (Cera Alba), Bis-Diglyceryl Polyacyladipate-2, Caprylic/Capric Triglyceride, Glycerin, Hydrogenated Castor Oil, Hydrogenated Polyisobutene, Isopropyl Palmitate, Magnesium Sulfate, Mineral Oil (Paraffinum Liquidum), Peg-45/Dodecyl Glycol Copolymer, Ricinus Communis (Castor) Seed Oil, Zinc Oxide, Zinc Sulfate",https://cdn1.skinsafeproducts.com/photo/FF47655AEC2679/large_1643870120.pngpng?1643870120,https://www.skinsafeproducts.com/avene-cicalfate-lips-repairing-balm-0-3-fl-oz-10-ml
1-200.csv,"Avene Cicalfate+ Absorbing Repair Spray, 100 mL/3.3 fl oz",Eau Thermale Avene,Skin Care,Skin Treatments,"1,2-Hexanediol, Aquaphilus Dolomiae Ferment Filtrate, Arginine, Avene Thermal Spring Water (Avene Aqua), Caprylyl Glycol, Copper Sulfate, Hectorite, Hydrogenated Starch Hydrolysate, Sclerotium Gum, Tromethamine, Water (Aqua), Zinc Oxide, Zinc Sulfate",https://cdn1.skinsafeproducts.com/photo/CDD0FE4DE9646E/large_1695072478.pngpng?1695072478,https://www.skinsafeproducts.com/eau-thermale-avene-cicalfate-absorbing-repair-spray-100-ml
1-200.csv,"Avene Cicalfate+ Repairing Protective Cream, 3.3 fl oz/100 mL",Eau Thermale Avene,Body,Creams,"Aluminum Stearate, Aquaphilus Dolomiae Ferment Filtrate, Arginine, Avene Thermal Spring Water (Avene Aqua), Beeswax (Cera Alba), Caprylic/Capric Triglyceride, Copper Sulfate, Glycerin, Hydrogenated Vegetable Oil, Magnesium Stearate, Magnesium Sulfate, Microcrystalline Wax (Cera Microcristallina), Mineral Oil (Paraffinum Liquidum), Peg-22/Dodecyl Glycol Copolymer, Polyglyceryl-2 Sesquiisostearate, Propylene Glycol (1,2-Propanediol), Tromethamine, Zinc Oxide, Zinc Sulfate",https://cdn1.skinsafeproducts.com/photo/1395F019A69875/large_1637002536.jpeg?1637002536,https://www.skinsafeproducts.com/eau-thermale-avene-cicalfate-repairing-protective-cream-3-3-fl-oz-100-ml
1-200.csv,"Avene Thermal Spring Water, 50 mL/1.76 oz",Eau Thermale Avene,Face,Mists,"Avene Thermal Spring Water, Nitrogen",https://cdn1.skinsafeproducts.com/photo/8C3206F423CDD2/large_1634274302.jpeg?1634274302,https://www.skinsafeproducts.com/eau-thermale-avene-thermal-spring-water-sensitive-skin-1-76-oz-50-ml
1-200.csv,"Avene Thermal Spring Water, 150 mL/ 5.29 oz",Eau Thermale Avene,Skin Care,Skin Treatments,"Avene Thermal Spring Water, Nitrogen",https://cdn1.skinsafeproducts.com/photo/7243D701BD42B5/large_1496194172.jpeg?1496194172,https://www.skinsafeproducts.com/eau-thermale-avene-thermal-spring-water-spray-5-29-oz
1-200.csv,"Avene Hydrance + Moisturizing Sunscreen Lotion, SPF 30, 1.3 fl oz/40 mL",Avene,Face,Moisturizers with SPF,"Allantoin, Aloe Barbadensis Leaf Juice Powder, Bisabolol, C13-15 Alkane, Caprylic/Capric Triglyceride, Caprylyl Glycol, Cococaprylate, Disteardimonium Hectorite, Glycerin, Isoamyl Laurate, Lecithin, Methylpropanediol, Phenylpropanol, Polyglyceryl-3 Polyricinoleate, Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate, Propanediol, Pyrusmalus (Apple) Fruit Extract, Shea Butter Ethyl Esters, Silica, Sodium Chloride, Sodium Hydroxide, Tetrasodium Glutamate Diacetate, Tocopherol, Tridecane, Tridecyl Salicylate, Undecane, Water/Eau/Aqua, Zinc Oxide",https://cdn1.skinsafeproducts.com/photo/55E9B3AF9BDFDD/large_1712782075.jpeg?1712782075,https://www.skinsafeproducts.com/eau-thermale-avene-hydrance-moisturizing-sunscreen-lotion-spf-30-1-3-fl-oz-40-ml
1-200.csv,"Avene Cleanance Cleansing Gel, 13.5 fl oz/400 mL",Avene,Facial Cleansers,Facial Gels,"Avene Thermal Spring Water (Avene Aqua), Ceteareth-60 Myristyl Glycol, Citric Acid, Decyl Glucoside, Fragrance (Parfum), Green 5 (Ci 61570), Isopropyl Alcohol, Lauryl Betaine, Peg-40 Hydrogenated Castor Oil, Peg-6, Peg-7 Glyceryl Cocoate, Polysorbate 20, Ppg-26-Buteth-26, Silybum Marianum Fruit Extract, Sodium Benzoate, Sodium Chloride, Sodium Hydroxide, Trisodium Ethylenediamine Disuccinate, Water (Aqua), Yellow 5 (Ci 19140), Zinc Coceth Sulfate, Zinc Gluconate",https://cdn1.skinsafeproducts.com/photo/54C13A2FBE6290/large_1659778725.jpeg?1659778725,https://www.skinsafeproducts.com/eau-thermale-avene-cleanance-cleansing-gel-13-5-fl-oz-400-ml
1-200.csv,"Avene Hyaluron Activ B3 Renewal Firming Cream, 1.6 fl oz/50 mL",Avene,Anti-Aging/Anti-Wrinkle,Anti-Aging,"Adenosine, Arachidyl Alcohol, Arachidyl Glucoside, Avene Thermal Spring Water (Avene Aqua), Behenyl Alcohol, Butyrospermum Parkii (Shea) Butter (Butyrospermum Parkii Butter), Caprylic/Capric Triglyceride, Caprylyl Glycol, Carthamus Tinctorius (Safflower) Seed Oil (Carthamus Tinctorius Seed Oil), Cellulose, Cetearyl Alcohol, Cetearyl Glucoside, Citric Acid, Fragrance (Parfum), Glycerin, Glyceryl Stearate, Glycol Palmitate, Helianthus Annuus (Sunflower) Seed Oil (Helianthus Annuus Seed Oil), Niacinamide, Sodium Benzoate, Sodium Hyaluronate, Tocopherol, Tocopheryl Glucoside, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/E64DF10A7B8743/large_1709669556.jpeg?1709669556,https://www.skinsafeproducts.com/eau-thermale-avene-hyaluron-activ-b3-renewal-firming-cream-1-6-fl-oz-50-ml-0
1-200.csv,"Avene Plumping Serum, Hyaluron Active B3, 1 fl oz/30 mL",Avene,Skin Treatments,Serums,"Adenosine, Avene Thermal Spring Water (Avene Aqua), Citric Acid, Glycerin, Niacinamide, Pentylene Glycol, Sodium Benzoate, Sodium Hyaluronate",https://cdn1.skinsafeproducts.com/photo/CFA6F437B09C74/large_1701930757.pngpng?1701930757,https://www.skinsafeproducts.com/eau-thermale-avene-plumping-serum-hyaluron-active-b3-1-fl-oz-30-ml
1-200.csv,"Avene Hydrance RICH Hydrating Cream, 40 mL/1.3 fl oz",Eau Thermale Avene,Face,Creams,"1,2-Hexanediol, Avene Thermal Spring Water, Benzoic Acid, Beta-Sitosterol, Bht, Butyrospermum Parkii Butter, Carthamus Tinctorius Seed Oil, Cetearyl Alcohol, Cetearyl Glucoside, Dimethicone, Disodium Edta, Fragrance, Glycerin, Isocetyl Stearoyl Stearate, Isohexadecane, Mineral Oil, Peg-100 Stearate, Polyacrylate-13, Polyisobutene, Polysorbate 20, Sodium Hydroxide, Sorbitan Isostearate, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/C03E1EB19B4B4C/large_1695152664.pngpng?1695152664,https://www.skinsafeproducts.com/avene-hydrance-rich-hydrating-cream-40-ml-1-3-fl-oz
1-200.csv,"Avene Cicalfate+ Hydrating Skin Recovery Emulsion, 40 mL/1.3 fl oz",Avene,Face,Emulsions,"Aquaphilus Dolomiae Ferment Filtrate, Arginine, Avene Thermal Spring Water (Avene Aqua), Behenyl Alcohol, Butyrospermum Parkii (Shea) Butter (Butyrospermum Parkii Butter), C20-22 Alcohols, C20-22 Alkyl Phosphate, Caprylic/Capric Triglycerides, Caprylyl Glycol, Cetearyl Alcohol, Cetearyl Glucoside, Copper Sulfate, Glycerin, Niacinamide, Pentaerythrityl Tetracaprylate/Tetracaprate, Sodium Benzoate, Sodium Hyaluronate, Sodium Hydroxide, Squalane, Tocopheryl Acetate, Triethylhexanoin, Tromethamine, Xanthan Gum, Zinc Sulfate",https://cdn1.skinsafeproducts.com/photo/6DCA851907DC43/large_1673120231.jpeg?1673120231,https://www.skinsafeproducts.com/eau-thermale-avene-cicalfate-hydrating-skin-recovery-emulsion-1-3-fl-oz-40-ml
1-200.csv,"Avene Cleanance HYDRA Soothing Cleansing Cream, 200 mL/6.7 fl oz",Eau Thermale Avene,Cleansers,Facial Cleansers,"Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Avene Thermal Spring Water (Avene Aqua), Caprylyl Glycol, Citric Acid, Coco-Glucoside, Fragrance (Parfum), Glycerin, Glyceryl Linoleate, Glyceryl Oleate, Glyceryl Palmitate, Glyceryl Stearate, Glycine Soja (Soybean) Oil (Glycine Soja Oil), Glycol Distearate, Hydrogenated Palm Glycerides Citrate, Peg-30 Dipolyhydroxystearate, Peg-40 Hydrogenated Castor Oil, Propanediol, Salicylic Acid, Sodium Benzoate, Sodium Chloride, Sodium Cocoamphoacetate, Sodium Dextran Sulfate, Sodium Hydroxide, Sodium Myristoyl Glutamate, Tocopheryl, Trideceth-6, Water (Aqua)",https://cdn1.skinsafeproducts.com/photo/FF654DD0D057E3/large_1695070456.pngpng?1695070456,https://www.skinsafeproducts.com/avene-cleanance-hydra-soothing-cleansing-cream-200-ml-6-7-fl-oz
1-200.csv,"Avene Cleanance ACNE Medicated Clearing Treatment, 40 mL/1.3 fl oz",Eau Thermale Avene,Skin Care,Acne Care (OTC),"1,2-Hexanediol, Acrylamide/Sodium Acryloyldimethyltaurate Copolymer, Benzoyl Peroxide, Carbomer, Citric Acid, Diethylhexyl Sodium Sulfosuccinate, Dimethicone, Dimethyl Isosorbide, Ethylhexylglycerin, Glycerin, Hyaluronic Acid, Hydroxyacetophenone, Hylocereus Undatus Fruit Extract, Isohexadecane, Morinda Citrifolia Extract, Peg-40 Stearate, Phenoxyethanol, Polyglyceryl-2 Isostearate, Polysorbate 80, Propanediol, Silica, Sodium Citrate, Sodium Hydroxide, Sodium Metabisulfite, Sorbitan Stearate, Tocopherol, Trisodium Ethylenediamine Disuccinate, Water (Aqua), Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/8222C7DFC3F4BA/large_1697738498.pngpng?1697738498,https://www.skinsafeproducts.com/avene-cleanance-acne-medicated-clearing-treatment-40-ml-1-3-fl-oz
