File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"Verso Skincare Acne Deep Cleanse, 5 oz",Verso Skincare,Cleansers,Facial Cleansers,"Acrylates/Beheneth-25 Methacrylate Copolymer, Aqua, Citric Acid, Cocamidopropyl Hydroxysultaine, Curcuma Longa Root Extract, Glycerin, Niacinamide, Phenoxyethanol, Portulaca Oleracea Extract, Salicylic Acid, Sodium Benzoate, Sodium Chloride, Sodium Cocoamphoacetate, Sodium Hydroxide, Sodium Lauroyl Sarcosinate, Tetrasodium Edta, Zinc Pca",https://cdn1.skinsafeproducts.com/photo/76155D2F74A4DB/large_1609657766.jpeg?1609657766,https://www.skinsafeproducts.com/verso-skincare-acne-deep-cleanse-5-oz
1-200.csv,"Verso Skincare Super Eye Serum, 1 oz.",Verso Skincare,"Eye Cream, Gel, Oils, & Serum",Serums,"Ammonium Acryloyldimethyltaurate/Vp Copolymer, Butylene Glycol, Canola Oil, Caprylyl Glycol, Caprylyl Methicone, Citric Acid, Curcuma Longa Root Extract, Diethylhexyl Carbonate, Dimethicone, Dipeptide-2, Glycerin, Heptyl Undecylenate, Hesperidin Methyl Chalcone, Palmitoyl Tetrapeptide 7, Parfum, Phenoxyethanol, Potassium Sorbate, Retinyl Retinoate, Sodium Citrate, Sodium Hyaluronate, Squalene, Steareth-20, Tetrahydrodiferuloylmethane, Tocopheryl Acetate, Water\Aqua\Eau",https://cdn1.skinsafeproducts.com/photo/F9300618831223/large_1539831705.jpeg?1539831705,https://www.skinsafeproducts.com/verso-skincare-super-eye-serum-1-oz
1401-1600.csv,"Riversol Lightweight Moisturizing Lotion, Beta-T, 2 fl oz/60 mL",Riversol,Face,Lotions,"Propylene Glycol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Aminopropyl Ascorbyl Phosphate, Aqua, Caprylic/Capric Triglycerides, Caprylyl Glycol, Cetearyl Alcohol, Disodium Lauriminodipropionate Tocopheryl Phosphates, Ethanol, Peg-40 Hydrogenated Castor Oil, Phenoxyethanol, Polysorbate 60, Propylene Glycol Alginate, Pvm/Ma Decadiene Crosspolymer, Sodium Citrate, Sodium Hydroxide, Sorbic Acid, Tetrasodium Edta, Tocopheryl Acetate, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/A03EA326CF3249/large_1746600458.pngpng?1746600458,https://www.skinsafeproducts.com/riversol-lightweight-moisturizing-lotion-beta-t-2-fl-oz-60-ml
1401-1600.csv,"Riversol Eye Repair Treatment, 1 fl oz/30 mL",Riversol,Eyes,Puffiness Treatments,"Propylene Glycol, Aminopropyl Ascorbyl Phosphate, Aqua/Water, Butylene Glycol, Caprylic/Capric Triglyceride, Caprylyl Glycol, Carbomer, Cetearyl Alcohol, Chrysin, Citric Acid, Cyclopentasiloxane, Cyclotetrasiloxane, Dimethiconol, Disodium Lauriminodipropionate Tocopheryl Phosphates, Glycerin, Hesperidin Methyl Chalcone, Hinokitiol, N-Hydroxysuccinimide, Palmitoyl Pentapeptide-4, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1, Phenoxyethanol, Polysorbate 20, Polysorbate 60, Propylene Glycol Alginate, Shea Butter, Sodium Citrate, Sodium Hydroxide, Sorbic Acid, Steareth-20, Tetrasodium Edta, Tocopheryl Acetate, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/2D26A459300B86/large_1741066662.pngpng?1741066662,https://www.skinsafeproducts.com/riversol-eye-repair-treatment-1-fl-oz-30-ml
1401-1600.csv,"Riversol Daily Moisturizing Cream, 1.7 fl oz/50 mL",Riversol,Face,Creams,"Propylene Glycol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Alcohol Denat, Aminopropyl Ascorbyl Phosphate, Aqua/Water, Caprylic/Capric Triglycerides, Caprylyl Glycol, Cetearyl Alcohol, Citric Acid, Hinokitiol, Phenoxyethanol, Polysorbate 60, Polysorbate 80, Propylene Glycol Alginate, Shea Butter, Sodium Citrate, Sodium Hydroxide, Sodium Tocopheryl Phosphate, Sorbic Acid, Tetrasodium Edta, Tocopheryl Acetate, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/34EAE2F7301835/large_1735623506.pngpng?1735623506,https://www.skinsafeproducts.com/riversol-daily-moisturizing-cream-1-7-fl-oz-50-ml
1401-1600.csv,"Riversol Anti-Aging Reparative Serum, 2 fl oz/60 mL",Riversol,Anti-Aging/Anti-Wrinkle,Serums,"Propylene Glycol, Alcohol Denat, Aminopropyl Ascorbyl Phosphate, Aqua/Water, Caprylyl Glycol, Citric Acid, Hinokitiol, Hydroxyethylcellulose, Phenoxyethanol, Propylene Glycol Alginate, Sodium Citrate, Sodium Hydroxide, Sodium Lauriminodipropionate, Sodium Tocopheryl Phosphate",https://cdn1.skinsafeproducts.com/photo/3DD6F2B855D9FA/large_1735619457.pngpng?1735619457,https://www.skinsafeproducts.com/riversol-anti-aging-reparative-serum-2-fl-oz-60-ml
1401-1600.csv,"Riversol Dermatologist Developed Antioxidant Mask, Sensitive Skin, 5 mL",Riversol,Skin Treatments,Facial Masks,"Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Butyrospermum Parkii (Shea Butter), Caprylic/Capric Triglyceride, Caprylyl Glycol, Cetearyl Alcohol, Ceteth-20, Citric Acid, Dicetyl Phosphate, Disodium Lauriminodipropionate Tocopheryl Phosphates, Hinokitiol (Beta-Thujaplicin), Phenoxyethanol, Polysorbate 60, Propylene Glycol, Propylene Glycol Alginate, Pvm/Ma Decadiene Crosspolymer, Sodium Citrate, Sodium Hydroxide, Sorbic Acid, Specially Denatured Alcohol, Tocopheryl Acetate, Water/Aqua, Xanthan Gum, Zinc Oxide",https://cdn1.skinsafeproducts.com/photo/01FC574AB6824B/large_1670233200.jpeg?1670233200,https://www.skinsafeproducts.com/riversol-dermatologist-developed-antioxidant-mask-sensitive-skin-5-ml
1401-1600.csv,"Riversol Daily Moisturizing Cream, 4 mL",Riversol,Face,Creams,"Aminopropyl Ascorbyl Phosphate, Butyrospermum Parkii (Shea Butter), Caprylic/Capric Triglyceride, Caprylyl Glycol, Cetearyl Alcohol, Citric Acid, Disodium Lauriminodipropionate Tocopheryl Phosphates, Hinokitiol (Beta-Thujaplicin), Phenoxyethanol, Polysorbate 60, Propylene Glycol (1,2-Propanediol), Propylene Glycol Alginate, Sodium Citrate, Sodium Hydroxide, Sorbic Acid, Specially Denatured Alcohol, Tetrasodium Edta, Tocopheryl Acetate, Water/Aqua, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/D3F2CF0A744AED/large_1657178649.png?1657178649,https://www.skinsafeproducts.com/riversol-daily-moisturizing-cream-4-ml
1601-1800.csv,"Verso Hydration Serum, Niacinamide, 0.35 fl oz/10 mL",Verso Skincare,Skin Treatments,Serums,"Aqua, Avena Sativa Kernel Flour, Avena Sativa Kernel Oil, Biosaccharide Gum-1, Cetyl Hydroxyethylcellulose, Citric Acid, Dimethicone, Ethylhexylglycerin, Glycerin, Hydrolyzed Yeast Extract, Isononyl Isononanoate, Lecithin, Niacinamide, Phenoxyethanol, Polyglucuronic Acid, Potassium Sorbate, Propanediol, Saccharide Isomerate, Sodium Benzoate, Sodium Citrate, Sodium Polyacrylate, Tocopheryl Acetate, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/6815F00F0C7001/large_1744719461.pngpng?1744719461,https://www.skinsafeproducts.com/verso-hydration-serum-niacinamide-0-35-fl-oz-10-ml
1601-1800.csv,"Riversol Refreshing Gel Cleanser, 6 oz/180 mL",Riversol,Facial Cleansers,Facial Gels,"Anthemis Nobilis Flower Water, Aqua, Citric Acid, Cocamidopropyl Betaine, Ethanol, Glycerin, Guar Hydroxypropyltrimonium Chloride, Hinokitiol, Peg-120 Methyl Glucose Dioleate, Peg-40 Hydrogenated Castor Oil, Peg-6 Caprylic/Capric Glycerides, Phenoxyethanol, Polysorbate 60, Sodium Cocoyl Isethionate, Sodium Hydroxide",https://cdn1.skinsafeproducts.com/photo/D7C4ADE01D25AC/large_1741148644.pngpng?1741148644,https://www.skinsafeproducts.com/riversol-refreshing-gel-cleanser-6-oz-180-ml
