File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"Pai Skincare Bio Regenerate Oil, Rosehip Seed & Fruit, 1 fl oz/30 mL",Pai Skincare,Face,Oils,"Rosa Canina Fruit Extract, Rosa Canina Seed Extract, Rosmarinus Officinalis Leaf Extract, Tocopherol (Vitamin E)",https://cdn1.skinsafeproducts.com/photo/D22A485AA841E2/large_1675640862.jpeg?1675640862,https://www.skinsafeproducts.com/pai-skincare-bio-regenerate-oil-rosehip-seed-fruit-1-fl-oz-30-ml
1-200.csv,"Pai Calming Day Cream, Chamomile & Rosehip, 1.7 fl oz/50 mL",Pai Skincare,Face,Creams,"Aqua, Butyrospermum Parkii (Shea) Butter, Carthamus Tinctorius (Safflower) Seed Oil, Cetearyl Alcohol, Cetearyl Glucoside, Chamomilla Recutita (Matricaria) Flower Extract, Citrus Aurantium Dulcis (Orange) Fruit Water, Geranium Oil, Glycerin, Lactic Acid, Lactobacillus Ferment, Lavandula Angustifolia (Lavender) Oil, Leptospermum Scoparium Branch/Leaf Oil, Prunus Armeniaca (Apricot) Kernel Oil, Rosa Canina Seed Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Simmondsia Chinensis (Jojoba) Seed Oil, Sodium Anisate, Sodium Levulinate, Sodium Stearoyl Glutamate, Tocopherol",https://cdn1.skinsafeproducts.com/photo/E747556111ABA3/large_1639972582.pngpng?1639972582,https://www.skinsafeproducts.com/pai-calming-day-cream-chamomile-rosehip-1-7-fl-oz-50-ml
1201-1400.csv,Pai Skincare Camellia & Rose Gentle Hydrating Cleanser for Sensitive Skin (Organic) 100ml,Pai Skincare,Cleansers,Facial Cleansers,"African Shea Butter, Camellia Oleifera Seed Oil*, Camellia Sinensis Seed Oil, Cetearyl Alcohol, Cetearyl Glucoside, Citral, Citronellol*, D-Limonene, Geraniol*, Geranium Oil, Glycerin, Glyceryl Stearate Citrate, Lactic Acid, Lavandula Angustifolia (Lavender) Oil, Lavandula Officinalis (Lavender) Flower Oil, Linalool, Litsea Cubeba Fruit Oil*, Mixed Tocopherols (Vitamin E), Prunus Amygdalus Dulcis (Sweet Almond) Oil, Ricinus Communis (Castor) Seed Oil, Rosa Damascena (Rose Otto) Oil, Sodium Anisate, Sodium Lauroyl Lactylate, Sodium Levulinate, Water\Aqua\Eau",https://cdn1.skinsafeproducts.com/photo/A134E247CDDF33/large_1511719017.jpeg?1511719017,https://www.skinsafeproducts.com/pai-skincare-camellia-rose-gentle-hydrating-cleanser-for-sensitive-skin-organic-100ml
1201-1400.csv,Pai The Landmark Edition Rosehip BioRegenerate Oil - 15 ml,Pai Skincare,Body,Oils,"Rosa Canina Fruitextract, Rosmarinus Officinalis Leaf Extract, Tocopherol (Multisource)",https://cdn1.skinsafeproducts.com/photo/7984EEA06A4B30/large_1511718890.jpeg?1511718890,https://www.skinsafeproducts.com/pai-the-landmark-edition-rosehip-bioregenerate-oil-15-ml
1201-1400.csv,"Pai Skincare Chamomile & Rosehip Calming Day Cream, Anti-Redness Moisturizer for Hypersensitive Skin",Pai Skincare,Moisturizers,Face,"African Shea Butter, Carthamus Tinctorius (Safflower) Seed Oii, Cetearyl Alcohol, Cetearyl Glucoside, Chamomilla Recutita (Matricaria) Flower Extract, Citronellol, Geraniol, Geranium Oil, Glycerin, Glyceryl Stearate Citrate, Lactic Acid, Lavandula Angustifolia (Lavender) Oil, Leptospermum Scoparium Branch/Leaf Oil, Linalool, Prunus Armeniaca Kernel Oil (Apricot), Rosa Canina Seed Extract, Rosmarinus Officinalis Leaf Extract, Simmondsia Chinensis (Jojoba) Seed Oil, Sodium Anisate, Sodium Lauroyl Lactylate, Sodium Levulinate, Tocopherol (Multisource), Water\Aqua\Eau",https://cdn1.skinsafeproducts.com/photo/3E6AF041E87716/large_1506874747.jpeg?1506874747,https://www.skinsafeproducts.com/pai-skincare-chamomile-rosehip-calming-day-cream-anti-redness-moisturizer-for-hypersensitive-skin
1201-1400.csv,"Lion Pair Acne Cream, 14 g",Lion Pair,Skin Care,Acne Care (OTC),"1,3-Butylene Glycol, Carboxyvinyl Polymer, Diisopropanolamine, Fragrance, Ibuprofen Piconol, Isopropyl Methylphenol, Octyldodecanol, Paraben, Polysorbate 60, Sodium Edetate, Stearyl Alcohol",https://cdn1.skinsafeproducts.com/photo/79BC2DD891DD31/large_1751863474.pngpng?1751863474,https://www.skinsafeproducts.com/lion-pair-acne-cream-14-g
1401-1600.csv,"Propaira Extra Strength Serum, Hyaluronic Acid, 15 mL",Propaira,Skin Treatments,Serums,"Aqua (Purified Water), C12-13 Alkyl Glyceryl Hydrolyzed Hyaluronate, Caprylyl Glycol, Hydrolyzed Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Hydroxypropyltrimonium Hyaluronate, Niacinamide, Panthenol, Phenoxyethanol, Sodium Hyaluronate, Sodium Hydroxide, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/C772B476687F57/large_1737112125.pngpng?1737112125,https://www.skinsafeproducts.com/propaira-extra-strength-serum-hyaluronic-acid-15-ml
1401-1600.csv,"Propaira Skin Defense Serum, 10% Niacinamide, 30 ml",Propaira,Skin Treatments,Serums,"Aqua (Purified Water), Benzyl Alcohol, Caprylic/Capric Triglyceride, Ceteareth-20, Cetearyl Alcohol, Copper Tripeptide-1 (Copper Peptide), Dimethicone, Disodium Edta, Glycerin, Glycine Soja (Soyabean) Oil, Hydrogenated Lecithin, Niacinamide, Oligopeptide-34, Phenoxyethanol, Sodium Oleate, Vitis Vinifera (Grape) Seed Oil, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/7B953FE8FB5FDF/large_1634803562.pngpng?1634803562,https://www.skinsafeproducts.com/propaira-skin-defense-serum-10-niacinamide-30-ml
1601-1800.csv,"Barrier Repair Sheet Mask, 5 Count",Barrier Repair,Skin Treatments,Facial Masks,"Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Alcohol, Aqua, Butylene Glycol, Caprylyl Glycol, Dipropylene Glycol, Disodium Edta, Ethylhexylglycerin, Glycerin, Glycerylamidoethyl Methacrylate/Stearyl Methacrylate Copolymer, Hydrolyzed Hyaluronic Acid, Hydroxyethyl Urea, Hydroxylated Lecithin, Hydroxypropyl Arginine Lauryl/Myristyl Ether Hcl, Peg-32, Peg-6, Peg-60 Hydrogenated Castor Oil, Phytosteryl Macadamiate, Polyquaternium-51, Potassium Hydroxide, Royal Jelly Extract, Sorbitol, Squalane",https://cdn1.skinsafeproducts.com/photo/377B502EDEB0B5/large_1732796610.pngpng?1732796610,https://www.skinsafeproducts.com/barrier-repair-sheet-mask-5-count
2001-2200.csv,Power Repair Multi-Action Eye Lift,Power Repair,Moisturizers,Eyes,"Algae Extract, Aloe Vera Gel, Alpha Lipoic Acid, Argan Oil, Calendula Plant Infused Oil, Carrot Root Stem Cells, Coq10, Cucumber Extract, Enzyme Lactoperoxidase, Glucose Oxidase, Glycoprotein, Helichrysum Pure Essential Oils, Rosehip Seed Oil, Shea Butter, Vegetable Emulsifying Wax, Vitamin C-Ester, Vitamin E (From Annotto Bean), Water (Purified)",https://cdn1.skinsafeproducts.com/photo/FC564A593B4EDA/large_1610057639.pngpng?1610057639,https://www.skinsafeproducts.com/power-repair-multi-action-eye-lift
