File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"Sulwhasoo Concentrated Ginseng Brightening Serum, 30 mL",Sulwhasoo,Skin Treatments,Serums,"1,2-Hexanediol, Adenosine, Alcohol Denat, Butylene Glycol, C12-20 Alkyl Glucoside, C14-22 Alcohols, Caprylyl Methicone, Carbomer, Cetearyl Alcohol, Cetyl Ethylhexanoate, Dimethicone, Dimethiconol, Disodium Edta, Ethylhexylglycerin, Fragrance / Parfum, Glucose, Glycerin, Glyceryl Caprylate, Glyceryl Stearate, Hydrolyzed Ginseng Saponins, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Lilium Candidum Bulb Extract, Limonene, Linalool, Mel / Honey / Miel, Methoxy Peg-114/Polyepsilon Caprolactone, Mica, Morus Alba Root Extract, Nelumbo Nucifera Flower Extract, Niacinamide, Paeonia Lactiflora Root Extract, Panax Ginseng Root Extract, Peg-100 Stearate, Peg/Ppg-17/6 Copolymer, Phenoxyethanol, Phenyl Trimethicone, Phytosteryl/Octyldodecyl Lauroyl Glutamate, Polyglycerin-3, Polygonatum Odoratum Rhizome Extract, Polymethyl Methacrylate, Polysorbate 60, Propanediol, Rehmannia Glutinosa Root Extract, Sodium Polyacryloyldimethyl Taurate, Sorbitan Isostearate, Synthetic Fluorphlogopite, Thymol Trimethoxycinnamate, Tin Oxide, Titanium Dioxide (Ci 77891), Tocopherol, Tranexamic Acid, Tromethamine, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Water / Aqua / Eau",https://cdn1.skinsafeproducts.com/photo/356C9CEDD9BEF2/large_1713086414.pngpng?1713086414,https://www.skinsafeproducts.com/sulwhasoo-concentrated-ginseng-brightening-serum-30-ml
1-200.csv,"Sulwhasoo Concentrated Ginseng Brightening Spot Ampoule, 20 g",Sulwhasoo,Skin Treatments,Spot Treatments,"1,2-Hexanediol, 3-O-Ethyl Ascorbic Acid, Acetyl Heptapeptide-4, Acetyl Hexapeptide-8, Acetyl Octapeptide-3, Adenosine, Alcohol Denat, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Benzyl Benzoate, Betaine, Butylene Glycol, Caprylyl Glycol, Cetearyl Alcohol, Dimethicone, Dipotassium Glycyrrhizate, Disodium Edta, Disodium Phosphate, Ethylhexylglycerin, Fragrance / Parfum, Glycerin, Glyceryl Caprylate, Glyceryl Polymethacrylate, Glyceryl Stearate Citrate, Hydrogenated Lecithin, Hydrolyzed Ginseng Saponins, Hydroxyethylcellulose, Lilium Candidum Bulb Extract, Linalool, Mel / Honey / Miel, Methoxy Peg-114/Polyepsilon Caprolactone, Morus Alba Root Extract, Nelumbo Nucifera Flower Extract, Niacinamide, Paeonia Lactiflora Root Extract, Panax Ginseng Root Extract, Peg-10 Dimethicone, Phenoxyethanol, Polyglyceryl-3 Methylglucose Distearate, Polygonatum Odoratum Rhizome Extract, Polymethyl Methacrylate, Polysorbate 60, Propanediol, Rehmannia Glutinosa Root Extract, Sodium Hydroxide, Sodium Phosphate, Sodium Polyacryloyldimethyl Taurate, Thymol Trimethoxycinnamate, Tocopherol, Tranexamic Acid, Water / Aqua / Eau, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/EC299BEA6457A6/large_1713088691.pngpng?1713088691,https://www.skinsafeproducts.com/sulwhasoo-concentrated-ginseng-brightening-spot-ampoule-20-g
1-200.csv,"Sulwhasoo Gentle Cleansing Oil, 6.76 fl oz/200 mL",Sulwhasoo,Facial Cleansers,Facial Cleansing Oil,"Butylene Glycol, C12-15 Alkyl Benzoate, Camellia Japonica Seed Oil, Caprylic/Capric Triglyceride, Castanea Crenata (Chestnut) Shell Extract, Citrus Unshiu Peel Extract, Coco-Caprylate/Caprate, Cocos Nucifera (Coconut) Oil, Coix Lacryma-Jobi Ma-Yuen Seed Extract, Dextrin Palmitate, Fragrance/Parfum, Glyceryl Behenate/Eicosadioate, Isopropyl Palmitate, Limonene, Linalool, Nelumbo Nucifera Seed Extract, Peg-20 Glyceryl Triisostearate, Peg-8 Isostearate, Pentaerythrityl Tetraethylhexanoate, Pentaerythrityl Tetraisostearate, Pinus Koraiensis Seed Oil, Prunus Armeniaca (Apricot) Kernel Oil, Prunus Mume Seed Extract, Sesamum Indicum (Sesame) Seed Oil, Spirodela Polyrhiza Extract, Squalane, Water/Aqua/Eau",https://cdn1.skinsafeproducts.com/photo/A7792B9A4903BF/large_1717994900.pngpng?1717994900,https://www.skinsafeproducts.com/sulwhasoo-gentle-cleansing-oil-6-76-fl-oz-200ml
1-200.csv,"Sulwhasoo Renewing Creamy Mask, Concentrated Ginseng, 0.63 oz/18 g, Pack Of 5",Sulwhasoo,Skin Treatments,Facial Masks,"1,2-Hexanediol, Alpha-Isomethyl Ionone, Arachidyl Alcohol, Arachidyl Glucoside, Behenyl Alcohol, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Butyrospermum Parkii (Shea) Butter, Carthamus Tinctorius (Safflower) Flower Extract, Cetyl Ethylhexanoate, Cetyl Peg/Ppg-10/1 Dimethicone, Cyclohexasiloxane, Cyclopentasiloxane, Dextrin, Dimethicone, Disodium Edta, Disteardimonium Hectorite, Ethylhexylglycerin, Fragrance / Parfum, Gardenia Florida Fruit Extract, Glucose, Glycerin, Glycyrrhiza Uralensis (Licorice) Root Extract, Hexyl Cinnamal, Honey, Hydrogenated Lecithin, Hydrolyzed Ginseng Saponins, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde, Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone, Lilium Candidum Bulb Extract, Limonene, Linalool, Methoxy Peg-114/Polyepsilon Caprolactone, Nelumbo Nucifera Flower Extract, Paeonia Albiflora Root Extract, Panax Ginseng Flower Extract, Panax Ginseng Root Extract, Peg-10 Dimethicone, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Pentaerythrityl Tetraethylhexanoate, Perilla Ocymoides Seed Extract, Phenoxyethanol, Phytosphingosine, Polyacrylate-13, Polygonatum Officinale Rhizome/Root Extract, Polyisobutene, Polysorbate 20, Polysorbate 60, Rehmannia Glutinosa Root Extract, Sodium Methyl Stearoyl Taurate, Sodium Polyaspartate, Sorbitan Isostearate, Squalane, Tocopherol, Triethylhexanoin, Water / Aqua / Eau",https://cdn1.skinsafeproducts.com/photo/101D5B1BA975DA/large_1715772265.pngpng?1715772265,https://www.skinsafeproducts.com/sulwhasoo-renewing-creamy-mask-concentrated-ginseng-0-63-oz-18-g-pack-of-5
1-200.csv,"Sulwhasoo Ultimate S Cream, 2.02 fl oz/50 mL",Sulwhasoo,Anti-Aging/Anti-Wrinkle,Anti-Aging,"1,2-Hexanediol, Acetyl Heptapeptide-4, Acetyl Hexapeptide-8, Acetyl Octapeptide-3, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Behenyl Alcohol, Benzyl Salicylate, Beta-Carotene, Bioflavonoids, Butylene Glycol, Butyrospermum Parkii (Shea) Butter, Caprylyl Glycol, Cetearyl Alcohol, Cetyl Ethylhexanoate, Citric Acid, Daucus Carota Sativa (Carrot) Root Extract, Diisostearyl Malate, Dimethicone, Disodium Edta, Ethylhexylglycerin, Fragrance / Parfum, Glycerin, Glyceryl Caprylate, Glyceryl Stearate, Helianthus Annuus (Sunflower) Seed Oil, Honey/Mel/Miel, Hydrogenated Lecithin, Hydrogenated Polyisobutene, Hydrolyzed Ginseng Saponins, Hydrolyzed Proanthocyanidin, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Hydroxypropyl Cyclodextrin, Hydroxypropyl Starch Phosphate, Lilium Candidum Bulb Extract, Limonene, Linalool, Methoxy Peg-114/Polyepsilon Caprolactone, Nelumbo Nucifera Flower Extract, Paeonia Lactiflora Root Extract, Panax Ginseng Berry Extract, Panax Ginseng Root Extract, Peg-100 Stearate, Pentaerythrityl Distearate, Pentaerythrityl Tetraethylhexanoate, Phytosphingosine, Polyglycerin-3, Polyglyceryl-3 Methylglucose Distearate, Polygonatum Odoratum Rhizome Extract, Polysorbate 60, Propanediol, Rehmannia Glutinosa Root Extract, Sodium Hydroxide, Sodium Methyl Stearoyl Taurate, Sodium Polyaspartate, Sorbitan Isostearate, Squalane, Tocopherol, Triethylhexanoin, Trisiloxane, Water / Aqua / Eau",https://cdn1.skinsafeproducts.com/photo/9B6F85FC051F85/large_1715738250.jpeg?1715738250,https://www.skinsafeproducts.com/sulwhasoo-ultimate-s-cream-2-02-fl
1-200.csv,"Sulwhasoo First Care Activating Serum VI, 0.50 fl oz/15 mL",Sulwhasoo,Anti-Aging/Anti-Wrinkle,Anti-Aging,"12-Hexanediol, 3-0-Ethyl Ascorbic Acid, Adenosine, Alcohol Denat, Betaine, Biosaccharide Gum-1, Bis-Peg-18 Methyl Ether Dimethyl Silane, Butylene Glycol, Carbomer, Carrageenan, Cellulose Gum, Citral, Citric Acid, Citronellol, Dextrin, Dipotassium Glycyrrhizate (Licorice Extract), Disodium Edta, Ethylhexylglycerin, Fragrance/Parfum, Geraniol, Glyceryl Caprylate, Glyceryl Polymethacrylate, Honey/Mel/Miel, Hydrogenated Lecithin, Juglans Regia (Walnut) Seed Extract, Lilium Candidum Bulb Extract, Limonene, Linalool, Madecassoside, Methyl Trimethicone, Natto Gum, Nelumbo Nucifera Flower Extract, Ophiopogon Japonicus Root Extract, Paeonia Lactiflora Root Extract, Panax Ginseng Root Extract, Pentylene Glycol, Polygonatum Odoratum Rhizome Extract, Ppg-13 Decyltetradeceth-24, Propanediol, Propylene Glycol, Prunus Mume Fruit Extract, Rehmannia Glutinosa Root Extract, Scutellaria Baicalensis Root Extract, Taurine, Theobroma Cacao (Cocoa) Extract, Tocopherol, Tromethamine, Water/Aqua/Eau, Xanthan Gum, Ziziphus Jujuba Fruit Extract",https://cdn1.skinsafeproducts.com/photo/857ED93D1167A7/large_1713856867.pngpng?1713856867,https://www.skinsafeproducts.com/sulwhasoo-first-care-activating-serum-vi-0-50-fl-oz-15-ml
1-200.csv,"Sulwhasoo Gentle Cleansing Oil, 1.69 fl oz/50 mL",Sulwhasoo,Facial Cleansers,Facial Cleansing Oil,"Butylene Glycol, C12-15 Alkyl Benzoate, Camellia Japonica Seed Oil, Caprylic/Capric Triglyceride, Castanea Crenata (Chestnut) Shell Extract, Citrus Unshiu Peel Extract, Cococaprylate/Caprate, Cocos Nucifera (Coconut) Oil, Coix Lacryma-Jobi Ma-Yuen Seed Extract, Dextrin Palmitate, Fragrance/Parfum, Glyceryl Behenate/Eicosadioate, Isopropyl Palmitate, Limonene, Linalool, Nelumbo Nucifera Seed Extract, Peg-20 Glyceryl Triisostearate, Peg-8 Isostearate, Pentaerythrityl Tetraethylhexanoate, Pentaerythrityl Tetraisostearate, Pinus Koraiensis Seed Oil, Prunus Armeniaca (Apricot) Kernel Oil, Prunus Mume Seed Extract, Sesamum Indicum (Sesame) Seed Oil, Spirodela Polyrhiza Extract, Squalane, Water / Aqua / Eau",https://cdn1.skinsafeproducts.com/photo/FB44F71A5A3426/large_1652470810.jpeg?1652470810,https://www.skinsafeproducts.com/sulwhasoo-gentle-cleansing-oil-1-69-fl-oz-50-ml
1001-1200.csv,"Sulwhasoo Herbal Clay Purifying Mask, 4.05 fl oz/120 mL",Sulwhasoo,Skin Treatments,Facial Masks,"1,2-Hexanediol, Angelica Keiskei Extract, Artemisia Princeps Leaf Powder, Bentonite, Butylene Glycol, Cellulose Gum, Dioscorea Japonica Root Extract, Disodium Edta, Ethylhexylglycerin, Gluconolactone, Glycerin, Glyceryl Caprylate, Glycyrrhiza Uralensis (Licorice) Root Extract, Honey/Mel/Miel, Houttuynia Cordata Powder, Kaolin, Lilium Candidum Bulb Extract, Microcrystalline Cellulose, Morus Alba Leaf Extract, Nelumbo Nucifera Flower Extract, Paeonia Albiflora Root Extract, Polygonatum Officinale Rhizome/Root Extract, Propanediol, Rehmannia Glutinosa Root Extract, Rubus Idaeus (Raspberry) Fruit Extract, Salicornia Herbacea Extract, Sea Silt, Silica, Titanium Dioxide (Ci 77891), Tocopherol, Ulmus Davidiana Root Extract, Water/Aqua/Eau, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/8F0D3D9EAEAE87/large_1743664120.pngpng?1743664120,https://www.skinsafeproducts.com/sulwhasoo-herbal-clay-purifying-mask-4-05-fl-oz-120-ml
1001-1200.csv,"Sulwhasoo White Ginseng Radiance Refining Mask, 4.05 oz/120 mL",Sulwhasoo,Skin Treatments,Facial Masks,"1,2-Hexanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Alcohol Denat, Ammonium Acryloyldimethyl Taurate/Vp Copolymer, Butylene Glycol, Dimethicone, Disodium Edta, Ethylhexylglycerin, Fragrance / Parfum, Glycerin, Glyceryl Polymethacrylate, Glycyrrhiza Uralensis (Licorice) Root Extract, Honey, Hydrolyzed Ginseng Saponins, Juglans Regia (Walnut) Shell Powder, Lilium Candidum Bulb Extract, Limonene, Methoxy Peg-114/Polyepsilon Caprolactone, Methyl Gluceth-20, Nelumbo Nucifera Flower Extract, Oldenlandia Diffusa Extract, Paeonia Albiflora Root Extract, Panax Ginseng Root Extract, Panax Ginseng Root Powder, Peg-15 Glyceryl Isostearate, Phenoxyethanol, Polyglycerin-3, Polygonatum Officinale Rhizome/Root Extract, Propanediol, Pvp, Rehmannia Glutinosa Root Extract, Tromethamine, Water / Aqua / Eau, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/1521C020EC600B/large_1743664053.pngpng?1743664053,https://www.skinsafeproducts.com/sulwhasoo-white-ginseng-radiance-refining-mask-4-05-oz-120-ml
1601-1800.csv,"Sulwhasoo Concentrated Ginseng Renewing Serum, 0.03 fl oz/1 mL",Sulwhasoo,Skin Treatments,Serums,"1,2-Hexanediol, Acetyl Heptapeptide-4, Acetyl Hexapeptide-8, Acetyl Octapeptide-3, Acetyl Tetrapeptide-11, Arachidyl Alcohol, Arachidyl Glucoside, Behenyl Alcohol, Betaine, Butylene Glycol, Cacao Extract, Caprylyl Glycol, Caprylyl Methicone, Carbomer, Cetyl Ethylhexanoate, Dextrin, Ethylhexylglycerin, Fragrance / Parfum, Glycerin, Glyceryl Caprylate, Glycine Soja (Soybean) Oil, Hexapeptide-9, Hyaluronic Acid, Hydrogenated Lecithin, Hydrolyzed Ginseng Saponins, Hydrolyzed Hyaluronic Acid, Jojoba Esters, Lilium Tigrinum Bulb Extract, Limonene, Linalool, Mannitol, Methoxy Peg-114/Polyepsilon Caprolactone, Methyl Gluceth-20, Nelumbo Nucifera Flower Extract, Niacinamide, Paeonia Lactiflora Root Extract, Panax Ginseng Flower Extract, Panax Ginseng Root Extract, Panax Ginseng Seed Oil, Panthenol, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Phenoxyethanol, Phenyl Trimethicone, Phytosphingosine, Polygonatum Odoratum Rhizome Extract, Propanediol, Rehmannia Glutinosa Root Extract, Retinol, Sodium Acetylated Hyaluronate, Sodium Chloride, Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Sodium Hydroxide, Sodium Metaphosphate, Sodium Methyl Stearoyl Taurate, Sodium Polyaspartate, Theobroma, Tocopherol, Tromethamine, Water / Aqua / Eau",https://cdn1.skinsafeproducts.com/photo/2A463BDF38C8DC/large_1747631861.pngpng?1747631861,https://www.skinsafeproducts.com/sulwhasoo-concentrated-ginseng-renewing-serum-0-03-fl-oz-1-ml
