File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"Tatcha The Rice Polish Gentle, 2.1 oz/60 g",Tatcha,"Exfoliators, Polishes, & Scrubs",Polishes,"Aqua/Water/Eau, Butylene Glycol, Camellia Sinensis Leaf Extract, Cladosiphon Okamuranus Extract, Dextrin, Dipotassium Glycyrrhizate, Ethylhexylglycerin, Iron Oxides (Ci 77491), Kaolin, Lauryl Betaine, Microcrystalline Cellulose, Oryza Sativa (Rice) Bran Extract, Oryza Sativa (Rice) Powder, Papain, Phenoxyethanol, Phytosteryl/Octyldodecyl Lauroyl Glutamate, Propanediol, Saccharomyces/Rice Ferment Filtrate, Silica, Sodium Cocoyl Glutamate, Sodium Lauroyl Glutamate, Sodium Lauroyl Methylaminopropionate, Sodium Lauryl Phosphate, Sodium Stearoyl Glutamate, Tocopherol, Ultramarines (Ci 77007)",https://cdn1.skinsafeproducts.com/photo/032C5ECB6FD8D4/large_1713725968.jpeg?1713725968,https://www.skinsafeproducts.com/tatcha-the-rice-polish-gentle-2-1-oz-60-g-0
1-200.csv,"Tatcha The Essence Skincare Boosting Treatment, 2.5 fl oz/75 mL",Tatcha,Skin Treatments,Essence,"Camellia Sinensis Leaf Extract, Cladosiphon Okamuranus Extract, Ethylhexylglycerin, Phenoxyethanol, Propanediol, Saccharomyces/Rice Ferment Filtrate",https://cdn1.skinsafeproducts.com/photo/31B7911EE71CF7/large_1706587107.pngpng?1706587107,https://www.skinsafeproducts.com/tatcha-the-essence-skincare-boosting-treatment-2-5-fl-oz-75-ml
1-200.csv,"Tatcha The Rice Polish: Calming, 2.7 oz/60 g",Tatcha,"Exfoliators, Polishes, & Scrubs",Polishes,"Alcohol, Aqua/Water/Eau, Butylene Glycol, Colloidal Oatmeal, Ethylhexylglycerin, Hydrolyzed Conchiolin Protein, Indigofera Tinctoria Leaf Extract, Lauryl Betaine, Mica (Ci 77019), Microcrystalline Cellulose, Oryza Sativa (Rice) Bran, Oryza Sativa (Rice) Powder, Phenoxyethanol, Phytosteryl/Octyldodecyl Lauroyl Glutamate, Polygonum Tinctorium Leaf/Stem Extract, Propanediol, Saccharomyces/Camellia Sinensis Leaf/Cladosiphon Okamuranus/Rice Ferment Filtrate, Sodium Lauroyl Glutamate, Sodium Lauroyl Methylaminopropionate, Sodium Lauryl Phosphate, Sodium Palmoyl Glutamate, Sodium Stearoyl Glutamate, Tin Oxide (Ci 77861), Titanium Dioxide (Ci77891), Tocopherol",https://cdn1.skinsafeproducts.com/photo/DC7240827BF8F8/large_1671520727.pngpng?1671520727,https://www.skinsafeproducts.com/tatcha-the-rice-polish-calming-sensitive-2-7-oz-60-g
1-200.csv,"Tatcha The Essence, 2.5 fl oz/75 mL",Tatcha,Face,Creams,"Ethylhexylglycerin, Phenoxyethanol, Propanediol, Saccharomyces/Camellia Sinensis Leaf/Cladosiphon Okamuranus/Rice Ferment Filtrate",https://cdn1.skinsafeproducts.com/photo/9F417BC6B3E928/large_1668077515.pngpng?1668077515,https://www.skinsafeproducts.com/tatcha-the-essence-2-5-fl-oz-75-ml
1-200.csv,"Tatcha The Dewy Skin Cream, 1.7 fl oz / 50 mL",Tatcha,Face,Creams,"Alcohol, Aqua/Water/Eau, Beheneth-20, Behenyl Alcohol, Betaphycus Gelatinum Extract, Bis-Diglyceryl Polyacyladipate-2, Butylene Glycol, Camellia Sinensis Leaf Extract, Chondrus Crispus Extract, Citral, Cladosiphon Okamuranus Extract, Diisostearyl Malate, Dimethicone, Dimethicone/Vinyl Dimethicone Crosspolymer, Dipentaerythrityl Hexahydroxystearate, Ethylhexylglycerin, Gluconolactone, Glycerin, Gold, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Inositol, Limonene, Linalool, Malva Sylvestris (Mallow) Flower Extract, Mica, Myristyl Myristate, Origanum Majorana Leaf Extract, Oryza Sativa (Rice) Bran Extract, Panax Ginseng Root Extract, Parfum/Fragrance, Phenoxyethanol, Phytosteryl Macadamiate, Polysorbate 60, Propanediol, Saccharomyces/Rice Ferment Filtrate, Sericin, Sodium Benzoate, Sodium Hyaluronate, Sorbitan Isostearate, Sorbitan Tristearate, Squalane, Thymus Serpyllum Extract, Tin Oxide, Titanium Dioxide (Ci 77891), Tocopherol, Tridecyl Trimellitate, Violet 2 (Ci 60725)",https://cdn1.skinsafeproducts.com/photo/5D7719355237B5/large_1732449337.pngpng?1732449337,https://www.skinsafeproducts.com/tatcha-the-dewy-skin-cream-1-7-fl-oz-50-ml-0
1-200.csv,"Tatcha The Water Cream, 1.7 fl oz/50 mL",Tatcha,Face,Creams,"Alcohol, Aqua/Water/Eau, Belamcanda Chinensis Root Extract, Butylene Glycol, Camellia Sinensis Leaf Extract, Citral, Cladosiphon Okamuranus Extract, Diglycerin, Dimethicone, Dimethicone/Peg-10/15 Crosspolymer, Dimethicone/Phenyl Vinyl Dimethicone Crosspolymer, Diphenylsiloxy Phenyl Trimethicone, Dipropylene Glycol, Ethylhexylglycerin, Glycerin, Gold, Houttuynia Cordata Extract, Lecithin, Limonene, Linalool, Mica, Parfum/Fragrance, Peg-9 Polydimethylsiloxyethyl Dimethicone, Phenoxyethanol, Pistacia Lentiscus (Mastic) Gum, Propanediol, Rosa Multiflora Fruit Extract, Saccharomyces/Rice Ferment Filtrate, Sodium Chloride, Sodium Citrate, Sodium Hyaluronate, Sophora Angustifolia Root Extract, Tin Oxide, Titanium Dioxide (Ci 77891), Tocopherol",https://cdn1.skinsafeproducts.com/photo/1556FCFFEEECB9/large_1729678604.pngpng?1729678604,https://www.skinsafeproducts.com/tatcha-the-water-cream-1-7-fl-oz-50-ml
1-200.csv,"Tatcha The Matcha Cleanse Daily Clarifying Gel Cleanser, 5 oz/150 mL",Tatcha,Facial Cleansers,Facial Gels,"Alcohol, Aqua/Water/Eau, Artemisia Princeps Leaf Extract, Blue 1 (Ci 42090), Butylene Glycol, Camellia Sinensis Leaf Extract, Chlorphenesin, Citric Acid, Cladosiphon Okamuranus Extract, Cocamidopropyl Betaine, Coix Lacryma-Jobi Ma-Yuen Seed Extract, Ethylhexylglycerin, Glycerin, Lauryl Glucoside, Peg-150 Pentaerythrityl Tetrastearate, Phenoxyethanol, Propanediol, Saccharomyces/Rice Ferment Filtrate, Salix Alba (Willow) Bark Extract, Sodium Carbonate, Sodium Lauroyl Aspartate, Sodium Lauryl Glycol Carboxylate, Yellow 5 (Ci 19140)",https://cdn1.skinsafeproducts.com/photo/D037171A7DEE44/large_1708662004.jpeg?1708662004,https://www.skinsafeproducts.com/tatcha-the-matcha-cleanse-daily-clarifying-gel-cleanser-5-oz-150-ml
1-200.csv,"Tatcha The Rice Wash, 4.0 fl oz/120 mL",Tatcha,Facial Cleansers,Facial Washes,"Acrylates Copolymer, Alcohol, Aqua/Water/Eau, Betaphycus Gelatinum Extract, Chondrus Crispus Extract, Coco-Betaine, Ethylhexylglycerin, Glycerin, Lauryl Glucoside, Limonene, Linalool, Microcrystalline Cellulose, Oryza Sativa (Rice) Powder, Parfum/Fragrance, Phenoxyethanol, Polyquaternium-39, Potassium Hydroxide, Propanediol, Saccharomyces/Camellia Sinensis Leaf/Cladosiphon Okamuranus/Rice Ferment Filtrate, Sodium Caproyl Methyltaurate, Sodium Carbonate, Sodium Cocoyl Glutamate, Sodium Hyaluronate",https://cdn1.skinsafeproducts.com/photo/47FB8724D83BB4/large_1723092438.pngpng?1723092438,https://www.skinsafeproducts.com/tatcha-the-rice-wash-4-0-fl-oz-120-ml
1-200.csv,"Tatcha The Indigo Calming Cream, 1.7 oz/50 mL",Tatcha,Face,Creams,"Avena Sativa (Oat) Kernel Extract, Beheneth-20, Behenyl Alcohol, Bis-Diglyceryl Polyacyladipate-2, Butylene Glycol, Camellia Sinensis Leaf Extract, Caprylyl/Capryl Glucoside, Cladosiphon Okamuranus Extract, Cocos Nucifera (Coconut) Oil, Colloidal Oatmeal, Diisostearyl Malate, Dimethicone, Dimethicone/Vinyl Dimethicone Crosspolymer, Ethylhexyl Palmitate, Ethylhexylglycerin, Glycerin, Indigofera Tinctoria Leaf Extract, Inositol, Mica (Ci 77019), Oryza Sativa (Rice) Bran Wax, Oryza Sativa (Rice) Germ Oil, Phenoxyethanol, Polygonum Tinctorium Leaf/Stem Extract, Propanediol, Saccharomyces/Rice Ferment Filtrate, Sericin, Sodium Acrylate/Acryloyldimethyltaurate/Dimethylacrylamide Crosspolymer, Sodium Dilauramidoglutamide Lysine, Sodium Hyaluronate, Sophora Japonica Flower Extract, Sorbitan Isostearate, Sorbitan Tristearate, Squalane, Tetrasodium Tetracarboxymethyl Naringeninchalone, Tin Oxide (Ci 77861), Titanium Dioxide (Ci 77891), Trihydroxystearin, Water/Aqua",https://cdn1.skinsafeproducts.com/photo/44880370A76EF8/large_1711320395.jpeg?1711320395,https://www.skinsafeproducts.com/tatcha-the-indigo-calming-cream-1-7-oz-50-ml
1-200.csv,"Tatcha The Silk Cream, 1.7 fl oz/50 mL",Tatcha,Face,Creams,"1,2-Hexanediol, Alcohol, Aqua/Water/Eau, Arginine, Batyl Alcohol, Behenyl Alcohol, Biosaccharide Gum-1, Bis-Behenyl/Isostearyl/Phytosteryl Dimer Dilinoleyl Dimer Dilinoleate, Camellia Sinensis Leaf Extract, Caprylic/Capric Triglyceride, Caprylyl Glycol, Carbomer, Citral, Cladosiphon Okamuranus Extract, Dimethicone, Ethylhexylglycerin, Glycerin, Hydrogenated Lecithin, Hydrolyzed Silk, Inositol, Isononyl Isononanoate, Limonene, Linalool, Oryza Sativa (Rice) Germ Oil, Panax Ginseng Root Extract, Parfum/Fragrance, Phenoxyethanol, Polyglyceryl-2 Triisostearate, Propanediol, Rosa Damascena Flower Extract, Royal Jelly Extract, Saccharomyces/Rice Ferment Filtrate, Sericin, Sodium Hyaluronate, Sorbitan Stearate, Squalane, Stearic Acid, Thymus Serpyllum Extract, Tocopherol, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/C159D77E4D4880/large_1715771669.jpeg?1715771669,https://www.skinsafeproducts.com/tatcha-the-silk-cream-1-7-fl-oz-50-ml
