File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"Aesop Rind Concentrate Body Balm, Pink Grapefruit, Orange Rind & Lemon Rind, 16.4 fl oz/500 mL",Aesop,Body,"Balms, Ointments & Salves","Aloe Barbadensis Leaf Juice, Benzoic Acid, Beta-Carotene, Butyrospermum Parkii (Shea Butter), Ceteareth-20, Cetearyl Alcohol, Citral, Citrus Aurantium Dulcis (Orange) Oil, Citrus Grandis (Grapefruit) Peel Oil, Citrus Medica Limonum (Lemon) Peel Oil, Cocos Nucifera (Coconut) Oil, Daucus Carota Sativa (Carrot) Root Extract, Dehydroacetic Acid, Disodium Edta, Ethylhexylglycerin, Glycerin, Glyceryl Stearate, Glycine Soja (Soybean) Oil, Helianthus Annus (Sunflower) Oil, Limonene, Linalool, Macadamia Ternifolia Seed Oil, Palmitic Acid, Phenoxyethanol, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Sodium Citrate, Stearic Acid, Theobroma Cacao (Cocoa) Seed Butter, Tocopherol, Triticum Vulgare (Wheat) Germ Oil, Water (Aqua)",https://cdn1.skinsafeproducts.com/photo/987FE57BA60FD8/large_1726698072.jpeg?1726698072,https://www.skinsafeproducts.com/aesop-rind-concentrate-body-balm-pink-grapefruit-orange-rind-lemon-rind-16-4-fl-oz-500-ml
1-200.csv,"Aesop Rejuvenate Intensive Body Balm, 16.4 oz/ 500 mL",Aesop,Body,"Balms, Ointments & Salves","Aloe Barbadensis Leaf Juice, Beta-Carotene, Butyrospermum Parkii (Shea Butter), Cedrus Atlantica (Cedarwood) Bark Oil, Ceteareth-20, Cetearyl Alcohol, Citral, Citronellol, Citrus Grandis (Grapefruit) Seed Extract, Citrus Tangerina (Tangerine) Peel Oil, Cocos Nucifera (Coconut) Oil, D-Limonene, Daucus Carota Sativa (Carrot) Root Extract, Disodium Edta, Farnesol, Fusanus Spicatus Wood Oil, Glycerin, Glyceryl Stearate, Glycine Soja (Soybean) Oil, Helianthus Annuus (Sunflower) Seed Oil, Linalool, Macadamia Ternifolia Seed Oil, Phenoxyethanol, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Sodium Citrate, Stearic Acid, Theobroma Cacao (Cocoa) Seed Butter, Tocopherol, Triticum Vulgare (Wheat) Germ Oil, Vanillin, Water (Aqua)",https://cdn1.skinsafeproducts.com/photo/7FC3E876039BC1/large_1724638340.jpeg?1724638340,https://www.skinsafeproducts.com/aesop-rejuvenate-intensive-body-balm-16-4-oz-500-ml
1-200.csv,"Aesop Lightweight Facial Hydrating Serum, Aloe Vera, Ylang Ylang & Panthenol, 3.3 oz/100 mL",Aesop,Face,Moisturizing Serums,"Aloe Barbadensis Leaf Juice, Benzyl Alcohol, Benzyl Benzoate, Benzyl Salicylate, Camellia Sinensis Leaf Extract, Cananga Odorata Flower Oil, Citric Acid, Ethylhexylglycerin, Eugenol, Farnesol, Geraniol, Isoeugenol, Linalool, Panthenol, Peg-150 Distearate, Peg-40 Hydrogenated Castor Oil, Phenoxyethanol, Polysorbate 20, Polysorbate 80, Sodium Ascorbyl Phosphate, Sodium Dehydroacetate, Sorbitol, Water (Aqua)",https://cdn1.skinsafeproducts.com/photo/4B7A5AB81016F2/large_1724115331.jpeg?1724115331,https://www.skinsafeproducts.com/aesop-lightweight-facial-hydrating-serum-aloe-vera-ylang-ylang-panthenol-3-3-oz-100-ml
1-200.csv,"Aesop B Triple C Facial Balancing Gel, 2.21 oz/60 mL",Aesop,Face,Gels,"Aloe Barbadensis Leaf Juice, Benzoic Acid, Camellia Sinensis Leaf Extract, Carum Petroselinum (Parsley) Seed Oil, Chamomilla Recutita (Matricaria) Flower Oil, D-Limonene, Disodium Edta, Ethylhexylglycerin, Geraniol, Hamamelis Virginiana (Witch Hazel) Water, Hydroxyacetophenone, Lactic Acid, Lavandula Angustifolia (Lavender) Oil, Linalool, Magnesium Ascorbyl Phosphate, Ormenis Multicaulis Oil, Panthenol, Peg-150 Distearate, Peg-40 Hydrogenated Castor Oil, Phenoxyethanol, Polysorbate 20, Sodium Lactate, Sorbitol, Water (Aqua)",https://cdn1.skinsafeproducts.com/photo/B56D453AC2B8C4/large_1712253872.jpeg?1712253872,https://www.skinsafeproducts.com/aesop-b-triple-c-facial-balancing-gel-2-21-oz-60-ml
1-200.csv,"Aesop Anti-Oxidant Facial Hydrating Cream, Parsley Seed, 2.0 oz/60 mL",Aesop,Face,Creams,"Aloe Barbadensis Leaf Juice, Benzoic Acid, Butyrospermum Parkii (Shea Butter), Camellia Sinensis Leaf Extract, Carum Petroselinum (Parsley) Seed Oil, Cellulose Gum, Cetearyl Alcohol, Ceteth-20, Cetyl Alcohol, Chamomilla Recutita (Matricaria) Flower Oil, Cistus Incanus Flower/Leaf/Stem Extract, Citric Acid, D-Limonene, Decyl Glucoside, Dehydroacetic Acid, Disodium Edta, Ethylhexyl Olivate, Ethylhexylglycerin, Geraniol, Glutamine, Glycerin, Glyceryl Stearate, Glycine Soja (Soybean) Oil, Gynostemma Pentaphyllum Leaf/Stem Extract, Lactic Acid, Lavandula Angustifolia (Lavender) Oil, Linalool, Microcrystalline Cellulose, Ormenis Multicaulis Oil, Peg-75 Stearate, Phenethyl Alcohol, Phenoxyethanol, Potassium Sorbate, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Sodium Benzoate, Steareth-20, Tocopherol, Tocopheryl Acetate, Water (Aqua), Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/7A59E7F17EE036/large_1711294938.jpeg?1711294938,https://www.skinsafeproducts.com/aesop-anti-oxidant-facial-hydrating-cream-parsley-seed-2-0-oz-60-ml
1-200.csv,"Aesop In Two Minds Facial Cleanser, 6.7 fl oz/200 mL",Aesop,Cleansers,Facial Cleansers,"Benzoic Acid, Citric Acid, Cocamidopropyl Hydroxysultaine, Coconut Acid, Hamamelis Virginiana (Witch Hazel) Water, Lavandula Angustifolia (Lavender) Oil, Limonene, Linalool, Ormenis Multicaulis Oil, Peg-120 Methyl Glucose Dioleate, Peg-40 Hydrogenated Castor Oil, Phenoxyethanol, Polysorbate 80, Rosmarinus Officinalis (Rosemary) Leaf Oil, Salicylic Acid, Salvia Officinalis (Sage) Oil, Sodium Chloride, Sodium Dehydroacetate, Sodium Gluconate, Sodium Laurylglucosides Hydroxypropylsulfonate, Sodium Methyl Cocoyl Taurate, Sorbitol, Tocopherol, Water (Aqua)",https://cdn1.skinsafeproducts.com/photo/AEA3E6BC272290/large_1702060500.jpeg?1702060500,https://www.skinsafeproducts.com/aesop-in-two-minds-facial-cleanser-6-7-fl-oz-200ml
1-200.csv,"Reverence Aromatique Hand Wash, 16.9 fl oz",Aesop,Cleansers,Liquid or Cream Hand Soaps,"1,2-Hexanediol, Acrylates Copolymer, Citral, Citrus Aurantium Amara (Bitter Orange) Leaf/Twig Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Grandis (Grapefruit) Peel Oil, Coco-Betaine, Coconut Acid, Ethylhexylglycerin, Farnesol, Fusanus Spicatus Wood Oil, Geraniol, Limonene, Linalool, Phenoxyethanol, Pumice, Sodium Chloride, Sodium Lauroamphoacetate, Sodium Methyl Cocoyl Taurate, Vetiveria Zizanoides Root Oil, Water (Aqua)",https://cdn1.skinsafeproducts.com/photo/D09295359B6D60/large_1689359798.jpeg?1689359798,https://www.skinsafeproducts.com/reverence-aromatique-hand-wash-16-9-fl-oz
1-200.csv,"Aesop Seeking Silence Facial Hydrator, 2.1 oz",Aesop,Face,Creams,"1,2-Hexanediol, Acacia Decurrens Flower Wax, Benzyl Alcohol, Biosaccharide Gum-1, Bisabolol, Citric Acid, Coco-Caprylate/Caprate, Copernicia Cerifera (Carnauba) Wax, Dunaliella Salina Extract, Farnesol, Fusanus Spicatus Wood Oil, Glycerin, Glycine Soja (Soybean) Oil, Helianthus Annuus (Sunflower) Seed Wax, Jojoba Esters, Juniperus Communis Fruit Oil, Lauroyl Lysine, Lavandula Angustifolia (Lavender) Oil, Lecithin, Limonene, Linalool, Maltodextrin, Narcissus Tazetta Bulb Extract, Polyglycerin-3, Saccharide Isomerate, Silica, Simmondsia Chinensis (Jojoba) Seed Oil, Sodium Acrylates Copolymer, Sodium Citrate, Sodium Dehydroacetate, Sodium Gluconate, Squalane, Tocopherol, Tribehenin Peg-20 Esters, Water (Aqua), Xanthan Gum, Zingiber Officinale (Ginger) Root Extract",https://cdn1.skinsafeproducts.com/photo/A3AF8596E53EAF/large_1689359292.jpeg?1689359292,https://www.skinsafeproducts.com/aesop-seeking-silence-facial-hydrator-2-1-oz
1-200.csv,Aesop Parsley Seed Anti-Oxidant Hydrator 60ml/2.1oz,Aesop,Face,Creams,"Benzoic Acid, Butyrospermum Parkii (Shea Butter), Camellia Sinensis Leaf Extract, Carum Petroselinum (Parsley) Seed Oil, Cedrus Atlantica (Cedarwood) Bark Oil, Cellulose Gum, Ceteareth-20, Cetearyl Alcohol, Citral, Citric Acid, Citronellol, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Aurantium Dulcis (Orange) Oil, D-Limonene, Disodium Edta, Epilobium Angustifolium Flower/Leaf/Stem Extract, Ethylhexyl Olivate, Ethylhexylglycerin, Geraniol, Geranium Oil, Glycerin, Hamamelis Virginiana (Witch Hazel) Water, Lactic Acid, Lavandula Angustifolia (Lavender) Oil (Certified Organic), Linalool, Methyl Glucose Sesquistearate, Microcrystalline Cellulose, Ormenis Multicaulis Oil, Panthenol, Peg-20 Methyl Glucose Sesquistearate, Peg-20 Stearate, Phenoxyethanol, Potassium Sorbate, Rosa Canina Fruit Oil, Silica Dimethyl Silylate, Sodium Benzoate, Sodium Citrate, Sodium Metabisulfite, Squalane, Tocopherol, Tropolone, Water (Aqua)",https://cdn1.skinsafeproducts.com/photo/08DB985F4AB9AB/large_1652185216.jpeg?1652185216,https://www.skinsafeproducts.com/aesop-parsley-seed-anti-oxidant-hydrator-60ml-2-1oz
1-200.csv,"Aesop Parsley Seed Anti-Oxidant, Facial Treatment, 0.5 oz",Aesop,Skin Treatments,Serums,"Camellia Japonica Seed Oil, Carum Petroselinum (Parsley) Seed Oil, Chamomilla Recutita (Matricaria) Flower Extract, Daucus Carota Sativa (Carrot) Seed Oil, Geraniol, Helianthus Annuus (Sunflower) Seed Oil, Lavandula Angustifolia (Lavender) Oil, Limonene, Linalool, Oenothera Biennis (Evening Primrose) Oil, Ormenis Multicaulis Oil, Oryza Sativa (Rice) Bran Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Ribes Nigrum (Blackcurrant) Seed Oil, Rosa Canina Fruit Oil, Tocopherol, Triticum Vulgare (Wheat) Germ Oil",https://cdn1.skinsafeproducts.com/photo/5C6466FA88D2BC/large_1585247082.jpeg?1585247082,https://www.skinsafeproducts.com/aesop-parsley-seed-anti-oxidant-facial-treatment-0-5-oz
